language	diff	surp_initial	surp_final	surp_avg	length_avg	p_value	n_permutations
abk	-0.4122573471103763	2.857577125630944	2.4453197785205676	2.7807435917201815	6.609523809523809	0.20995	100000
ady	-0.3065433312398502	3.3234820772368368	3.0169387459969865	3.2015924686693356	6.355769230769231	0.19748	100000
ain	-0.0024040507359650576	2.9199265719908816	2.9175225212549165	2.952599517932093	5.708333333333333	0.985	100000
ale	-0.9814242011979428	2.6900208480466277	1.7085966468486848	2.243553284812942	7.166666666666667	6e-05	100000
arb	-0.27220479918845397	2.948171529565521	2.675966730377067	3.024007732856691	6.0	0.06367	100000
ava	-1.015144074073696	2.9418093592531247	1.9266652851794288	2.3490726085303844	6.897435897435898	0.0	100000
azj	-0.5606023197694592	3.1102910780510227	2.5496887582815635	2.888024369656287	5.89908256880734	0.00215	100000
bak	-0.08474201229642375	2.97673981271612	2.8919978004196962	3.0964457190027668	5.761061946902655	0.63554	100000
bel	-0.804081094576742	3.3402220683588166	2.5361409737820746	2.884819798524341	6.091743119266055	2e-05	100000
ben	-0.65312965794574	3.6317633131197757	2.9786336551740358	3.2881647068812927	6.165048543689321	0.00769	100000
bre	0.03953348416797109	2.9897839729194797	3.029317457087451	2.885528619722352	5.96078431372549	0.87337	100000
bsk	-0.5220998780456951	3.5580583582873695	3.0359584802416744	3.150107376456813	5.122222222222222	0.04478	100000
bua	-0.5368638430007397	3.057618437602849	2.520754594602109	2.8437019721042454	7.122137404580153	0.01116	100000
bul	-0.32420515355854596	3.0857872356575498	2.761582082099004	2.934994636326955	5.530973451327434	0.0561	100000
cat	0.010269093365606441	2.995390557521447	3.0056596508870532	3.1305840701743435	5.590909090909091	0.95103	100000
ces	-0.5507836123580643	3.2607307363792852	2.709947124021221	3.0375833434058332	6.2105263157894735	0.00442	100000
che	-0.16513885269004502	3.8074165522542853	3.6422776995642403	3.5157336556267955	5.803921568627451	0.46375	100000
chv	-0.15244356694260341	2.953642027140633	2.8011984601980298	2.9476057019047675	5.6016260162601625	0.17738	100000
ckt	-0.7905041648337421	3.0313385379098103	2.2408343730760683	2.689267066250093	8.533980582524272	3e-05	100000
cmn	-0.6830181970559597	2.5497418511875107	1.866723654131551	2.0971573255618696	5.08	0.01244	100000
