language	diff	surp_initial	surp_final	surp_avg	length_avg	p_value	n_permutations
abk	-1.0723948359069577	2.857785805606022	1.7853909696990644	2.498962170093875	6.609523809523809	6e-05	100000
ady	-1.1464346065800153	3.3251611428287546	2.1787265362487394	2.847434621574881	6.355769230769231	0.0	100000
ain	-0.8922669626479278	2.920040850362016	2.0277738877140883	2.6008169076817995	5.708333333333333	0.0	100000
ale	-1.3854150679689428	2.6900703073867285	1.3046552394177857	2.075047599160466	7.166666666666667	0.0	100000
arb	-1.0289097784169863	2.9487991384898904	1.9198893600729041	2.696982117988529	6.0	0.0	100000
ava	-1.6458115441874444	2.9418728367782956	1.2960612925908512	2.1049497598825124	6.897435897435898	0.0	100000
azj	-1.4066365013836253	3.110473007120944	1.7038365057373188	2.543784432385465	5.89908256880734	0.0	100000
bak	-1.0049904627348738	2.977135633398671	1.9721451706637971	2.7279452470873977	5.761061946902655	0.0	100000
bel	-1.619839073091187	3.3403446777242403	1.7205056046330534	2.5665940001578664	6.091743119266055	0.0	100000
ben	-1.639251049984416	3.6319779572612294	1.9927269072768135	2.881123988176432	6.165048543689321	0.0	100000
bre	-0.8337549059636888	2.989942905778413	2.156187999814724	2.5200824076972816	5.96078431372549	5e-05	100000
bsk	-1.563271210468644	3.5602559755245853	1.9969847650559414	2.7419507668458873	5.122222222222222	0.0	100000
bua	-1.1563963914022046	3.057705215065797	1.9013088236635924	2.58385501403472	7.122137404580153	0.0	100000
bul	-1.1727717432755551	3.0859483820520848	1.9131766387765297	2.578677596778226	5.530973451327434	0.0	100000
cat	-0.9418351323771263	2.995602942522276	2.0537678101451498	2.7357529250714796	5.590909090909091	0.0	100000
ces	-1.3592077008035393	3.260953532279731	1.901745831476192	2.7090442840719864	6.2105263157894735	0.0	100000
che	-1.3178794523389001	3.807503375146398	2.489623922807498	3.0616016446624474	5.803921568627451	0.0	100000
chv	-1.0254460455088115	2.9545844576465403	1.9291384121377289	2.6122893163104277	5.6016260162601625	0.0	100000
ckt	-1.2985265180893104	3.031461758687025	1.7329352405977145	2.4827600676863866	8.533980582524272	0.0	100000
cmn	-1.2964608681089602	2.549816952934125	1.2533560848251646	1.8417012451072161	5.08	0.0	100000
cym	-0.7929696294730912	3.1747946339862776	2.3818250045131864	2.9994758509386283	5.681034482758621	0.0	100000
dan	-0.6161724041082715	2.893993950258151	2.2778215461498794	2.7146074827298454	5.5636363636363635	0.00244	100000
dar	-1.1618202098998793	3.354495533800882	2.192675323901003	2.9257880699900705	6.254716981132075	0.0	100000
ddo	-1.5482846362818397	3.545701302394925	1.9974166661130852	2.8623667362871568	5.5607476635514015	0.0	100000
deu	-0.8381784301911948	2.9438489561828485	2.1056705259916537	2.563200694998279	6.069306930693069	0.0	100000
ekk	-1.4278249592465668	3.224711257111335	1.7968862978647682	2.570179696856917	6.269565217391304	0.0	100000
ell	-1.3639399445498692	3.077493351277026	1.713553406727157	2.5677954878350047	6.427350427350428	0.0	100000
enf	-1.2924099147188557	3.2377752308512022	1.9453653161323465	2.7209430553537843	5.438775510204081	0.0	100000
eng	-1.30023452418805	3.3904238591732527	2.0901893349852028	2.7513679906258974	4.861386138613861	0.0	100000
ess	-1.3245812364214418	2.6577587299451326	1.3331774935236909	2.124216881221421	8.7	0.0	100000
eus	-1.2531943345046062	2.9728368513857104	1.7196425168811043	2.4197783741437613	5.8203125	0.0	100000
evn	-1.4047262062546853	2.8157054138460365	1.4109792075913512	2.244405153202025	7.203252032520325	0.0	100000
fin	-1.087218241896567	2.7944410098545056	1.7072227679579386	2.4940747517220414	6.4298245614035086	0.0	100000
fra	-1.5647109468213096	3.6892508815502327	2.124539934728923	2.922124586898077	4.992307692307692	0.0	100000
gld	-1.6402797598383136	3.3313127978115666	1.691033037973253	2.6958102499485337	6.653061224489796	0.0	100000
gle	-1.1812116955638645	2.9131429370719	1.7319312415080357	2.349438401008378	5.725806451612903	0.0	100000
heb	-1.0656946109679049	3.087053635943902	2.021359024975997	2.7786809185847767	5.158878504672897	0.0	100000
hin	-1.329990145693046	2.8528710638049195	1.5228809181118734	2.2001201969112145	7.14	0.0	100000
hrv	-1.229162418901742	3.0684050022911977	1.8392425833894557	2.563031884891831	6.443548387096774	0.0	100000
hun	-0.5313868531674979	2.8137793284694714	2.2823924753019735	2.7561063668848287	5.825	2e-05	100000
hye	-1.3909455280009695	3.4245542838134693	2.0336087558125	2.831528920405506	5.962962962962963	0.0	100000
isl	-1.087542724778551	3.083686395116905	1.9961436703383542	2.6140336453705726	5.982608695652174	0.0	100000
ita	-1.4738979738486484	2.932551177206282	1.4586532033576334	2.2809286864137155	6.5984251968503935	0.0	100000
itl	-1.2966290827703961	3.4360499090875862	2.13942082631719	2.9329617709932916	6.418918918918919	0.0	100000
jpn	-1.2730011811622952	2.643260470697101	1.3702592895348058	2.135926120099367	6.287037037037037	0.0	100000
kal	-1.1482260210150204	2.186325597953705	1.0380995769386845	1.7123652016642172	8.357142857142858	0.0	100000
kan	-0.734703825639156	2.681715290093635	1.947011464454479	2.282930156065721	6.415841584158416	0.0	100000
kat	-1.751934771310003	3.473884291106808	1.7219495197968049	2.7623239108210895	6.660869565217391	0.0	100000
kaz	-0.7772023139311064	2.840199732572131	2.0629974186410247	2.605690096196656	6.161538461538462	0.0	100000
kca	-1.524220969446994	3.0009026287078338	1.4766816592608398	2.4657343461668813	6.107843137254902	0.0	100000
ket	-1.3846775470839687	3.6383708778427426	2.253693330758774	3.0911943810477642	5.12	0.0	100000
khk	-0.7486661313642076	2.6379901049329617	1.8893239735687541	2.351963094564444	5.830645161290323	0.0	100000
kmr	-1.4282757516066953	3.4923791113089426	2.0641033597022473	2.8884603456313815	6.172727272727273	0.0	100000
koi	-1.9710089794729972	3.807965563123744	1.8369565836507467	2.9289992747265776	5.660550458715596	0.0	100000
kor	-1.4075661627924865	3.166422848910972	1.7588566861184856	2.633182847393407	6.019047619047619	0.0	100000
kpv	-2.380595101993503	3.8785733788965926	1.4979782769030894	2.8509585710066823	5.350877192982456	0.0	100000
krl	-1.306661951373122	2.893090238825727	1.5864282874526052	2.404921873865066	6.312977099236641	0.0	100000
lat	-1.501885948805087	2.8190644018852464	1.3171784530801594	2.0986106382476613	7.224299065420561	0.0	100000
lav	-1.1076724551040495	2.9887193024969867	1.8810468473929371	2.573736199133957	6.75	0.0	100000
lbe	-0.9874588617028639	2.5562032574834195	1.5687443957805556	2.187338519199118	6.81981981981982	0.0	100000
lez	-1.7005243984521197	3.6442937481254574	1.9437693496733377	2.8077916161822167	5.627272727272727	0.0	100000
lit	-1.6090822259608668	2.837235382973123	1.2281531570122564	2.0928699927198386	7.328467153284672	0.0	100000
