language	diff	surp_initial	surp_final	surp_avg	length_avg	p_value	n_permutations
abk	-0.26331892060755946	3.273443293523661	3.0101243729161014	3.3161936567724664	6.609523809523809	0.38517	100000
ady	-0.5427916813137315	3.80476042281072	3.2619687414969887	3.5263791642211473	6.355769230769231	0.01607	100000
ain	-0.3925647567905899	3.253090864947687	2.860526108157097	3.075933662388491	5.708333333333333	0.00236	100000
ale	-1.2560986258872555	3.6888320455327617	2.432733419645506	3.1300341049158753	7.166666666666667	0.0	100000
arb	-0.1700287691728315	3.381129950983489	3.2111011818106574	3.458428670575729	6.0	0.28153	100000
ava	-1.3706352861913342	3.802353986802985	2.431718700611651	3.152936207503625	6.897435897435898	0.0	100000
azj	-1.0268642968923527	3.84166956819161	2.8148052712992575	3.3292203704950643	5.89908256880734	0.0	100000
bak	-0.7056426831754607	3.6593815400103846	2.953738856834924	3.4120231877930527	5.761061946902655	0.0	100000
bel	-1.0589656821666944	3.93933103286892	2.8803653507022258	3.4687061436341873	6.091743119266055	0.0	100000
ben	-0.7956470502206776	4.05568851515258	3.2600414649319025	3.677585558224364	6.165048543689321	0.0001	100000
bre	-0.6059884261195534	3.8571569361284177	3.2511685100088643	3.5874402769085	5.96078431372549	0.00291	100000
bsk	-0.4481647206798045	3.9078315859867465	3.459666865306942	3.5680344997031366	5.122222222222222	0.02642	100000
bua	-1.0861187573366764	3.7166423092568217	2.6305235519201453	3.258250643399873	7.122137404580153	0.0	100000
bul	-0.3620431968800113	3.667857596506763	3.3058143996267515	3.5468829760895244	5.530973451327434	0.02317	100000
cat	-0.5983301495120035	3.739687737425168	3.1413575879131646	3.593456795758432	5.590909090909091	2e-05	100000
ces	-1.0023321431086045	3.951245053401912	2.9489129102933074	3.4718631382082825	6.2105263157894735	0.0	100000
che	-0.789292594546624	4.184186943722908	3.394894349176284	3.6985688035058875	5.803921568627451	0.0001	100000
chv	-0.6193276595637247	3.4984742190375884	2.8791465594738637	3.2404440482743526	5.6016260162601625	0.0	100000
ckt	-0.8443953214115298	3.6001517266241754	2.7557564052126455	3.2919761774936367	8.533980582524272	0.0	100000
cmn	-0.7907183486571512	3.681549437447977	2.8908310887908257	3.287136443584459	5.08	0.00012	100000
cym	-0.3421399644969023	3.775067587458025	3.4329276229611225	3.6451400995873358	5.681034482758621	0.01045	100000
dan	-0.37103086642595073	3.8842361165086428	3.513205250082692	3.822287050916823	5.5636363636363635	0.07546	100000
dar	-0.5595928488115574	3.8771415865702927	3.3175487377587354	3.5823245493387597	6.254716981132075	0.00493	100000
ddo	-1.0359666451187417	4.199857729513619	3.1638910843948773	3.680816879304194	5.5607476635514015	0.0	100000
deu	-0.7112320001057637	3.6979911307798914	2.9867591306741277	3.3503109599529095	6.069306930693069	0.0001	100000
ekk	-0.6812989031752839	3.605906441781831	2.9246075386065473	3.3770457383429133	6.269565217391304	0.0005	100000
ell	-0.8913478865221576	3.654309527377045	2.7629616408548876	3.3236728099722432	6.427350427350428	0.0	100000
enf	-0.5178527450723913	3.754324526489288	3.236471781416897	3.5472951294204456	5.438775510204081	0.05378	100000
eng	-0.9738376761846572	4.191027207026356	3.217189530841699	3.7013773407138544	4.861386138613861	0.0	100000
ess	-0.8950813317874164	3.2798319018646636	2.384750570077247	2.9830404289582777	8.7	0.0	100000
eus	-0.8271997660831274	3.6188410402308886	2.791641274147761	3.268145921554036	5.8203125	0.0	100000
