language	diff	surp_initial	surp_final	surp_avg	length_avg	p_value	n_permutations
abk	-0.5206178513641064	3.311183497263731	2.7905656458996244	3.24927747100961	6.609523809523809	0.05802	100000
ady	-0.8200053313651945	3.84030090075625	3.0202955693910556	3.470879068505453	6.355769230769231	3e-05	100000
ain	-0.5024575144841545	3.282932318498691	2.7804748040145366	3.094059776121975	5.708333333333333	2e-05	100000
ale	-1.457968457773283	3.700296277606801	2.242327819833518	3.0719704912541967	7.166666666666667	0.0	100000
arb	-0.5426777827396294	3.3916093605521476	2.848931577812518	3.303751537312353	6.0	7e-05	100000
ava	-1.6703909813923468	3.8271570016083416	2.156766020215995	3.073286933878564	6.897435897435898	0.0	100000
azj	-1.3375963502113604	3.8671829559569697	2.5295866057456093	3.2457765028896124	5.89908256880734	0.0	100000
bak	-1.043675739146317	3.682428170846099	2.638752431699782	3.316754147022418	5.761061946902655	0.0	100000
bel	-1.4469434168585495	3.947563583324079	2.5006201664655294	3.320285455983326	6.091743119266055	0.0	100000
ben	-1.3871681384234398	4.115167390896499	2.727999252473059	3.5076400802848884	6.165048543689321	0.0	100000
bre	-1.1668808377725877	3.875464747239474	2.708583909466886	3.3707342996035403	5.96078431372549	0.0	100000
bsk	-0.9877028124130005	3.927487125054554	2.9397843126415535	3.3900682037622984	5.122222222222222	0.0	100000
bua	-1.3069020321879883	3.7279626418961684	2.42106060970818	3.1932003559820665	7.122137404580153	0.0	100000
bul	-0.862346729466176	3.6740622806338084	2.8117155511676324	3.3483374813244517	5.530973451327434	0.0	100000
cat	-1.0467022252055496	3.7469471976251305	2.700244972419581	3.4219475688659684	5.590909090909091	0.0	100000
ces	-1.2757700719450362	3.9615704806905305	2.6858004087454943	3.3760556658647563	6.2105263157894735	0.0	100000
che	-1.2411100531570818	4.22825424702705	2.9871441938699683	3.589320753113516	5.803921568627451	0.0	100000
chv	-0.815547935335462	3.5284017082980155	2.7128537729625535	3.2273952445676937	5.6016260162601625	0.0	100000
ckt	-1.124872359324586	3.618322738148083	2.493450378823497	3.2215161397821275	8.533980582524272	0.0	100000
cmn	-1.244470958346203	3.714831485259695	2.470360526913492	3.1065095390093944	5.08	0.0	100000
cym	-0.8193563348707729	3.7938604228669544	2.9745040879961815	3.4890717917299843	5.681034482758621	0.0	100000
dan	-1.0112138820726049	3.8969877031671283	2.8857738210945234	3.588784162539194	5.5636363636363635	0.0	100000
dar	-0.8958398127451837	3.8935947088545575	2.997754896109374	3.4703168804056577	6.254716981132075	0.0	100000
ddo	-1.4876834568585422	4.223928145570236	2.7362446887116936	3.525582996491822	5.5607476635514015	0.0	100000
deu	-1.0577768420043987	3.706067956784531	2.6482911147801325	3.209414904246164	6.069306930693069	0.0	100000
ekk	-0.9746136030021022	3.6254966579593595	2.6508830549572573	3.2731470141528822	6.269565217391304	0.0	100000
ell	-1.1579930101874765	3.6628324490193678	2.5048394388318913	3.2314496395348096	6.427350427350428	0.0	100000
enf	-0.9142790343229241	3.7713388746769043	2.85705984035398	3.419057430007337	5.438775510204081	3e-05	100000
eng	-1.4480598594497724	4.205809082985294	2.757749223535521	3.536519191672076	4.861386138613861	0.0	100000
ess	-1.0014949897874073	3.2937424989464312	2.292247509159024	2.961256519479425	8.7	0.0	100000
