language	diff	surp_initial	surp_final	surp_avg	length_avg	p_value	n_permutations
abk	0.17684879782654006	3.6894588087434945	3.8663076065700346	3.974388219465868	6.609523809523809	0.45196	100000
ady	-0.07111584118161485	4.265260643454698	4.194144802273083	4.258702278831321	6.355769230769231	0.74494	100000
ain	-0.010122479746740076	3.6523593691074194	3.6422368893606794	3.663697482666208	5.708333333333333	0.92989	100000
ale	-1.2302562428948791	4.495203769963886	3.2649475270690065	3.9437921281255996	7.166666666666667	0.0	100000
arb	0.07506086894792663	3.7176822592789867	3.7927431282269133	3.928566126261073	6.0	0.59611	100000
ava	-0.19262572983245896	4.451999086752918	4.259373356920459	4.311732056133702	6.897435897435898	0.16217	100000
azj	-0.162703483367185	4.431213932992485	4.2685104496253	4.333841665488621	5.89908256880734	0.24482	100000
bak	0.36689950445258024	3.985533825877945	4.352433330330525	4.1756820920662765	5.761061946902655	0.00529	100000
bel	-0.1772548289473974	4.351847042348405	4.174592213401008	4.31759192124237	6.091743119266055	0.22127	100000
ben	-0.047578206119633926	4.439297408934714	4.39171920281508	4.412234373059767	6.165048543689321	0.80701	100000
bre	0.17686150214251484	4.483624505353908	4.660486007496423	4.5546233906400495	5.96078431372549	0.24484	100000
bsk	0.10177245073848251	4.29811990349381	4.399892354232293	4.2085860795444905	5.122222222222222	0.57494	100000
bua	-0.22687289645263675	4.345347607198606	4.11847471074597	4.271528018992785	7.122137404580153	0.09572	100000
bul	0.1726694583189552	4.218500803160455	4.39117026147941	4.338155390288509	5.530973451327434	0.14611	100000
cat	0.13056926613504238	4.078767809849797	4.209337075984839	4.24809326781468	5.590909090909091	0.26239	100000
ces	-0.13127365478796005	4.446048641543439	4.314774986755479	4.409346148074586	6.2105263157894735	0.26007	100000
che	-0.1640254541410675	4.464104180217457	4.300078726076389	4.347316081806613	5.803921568627451	0.34284	100000
chv	0.002653390379133036	3.8410584402924313	3.8437118306715643	3.836805057811005	5.6016260162601625	0.9802	100000
ckt	-0.2990490704017059	4.127926325042988	3.8288772546412817	4.009759424102565	8.533980582524272	0.00235	100000
cmn	0.14071731899871232	4.407572869986904	4.548290188985616	4.555631222890484	5.08	0.36985	100000
cym	0.06058995274487611	4.088851215637766	4.149441168382642	4.217540935508919	5.681034482758621	0.64237	100000
dan	0.13289728536750367	4.3421161717357055	4.475013457103209	4.528855335760598	5.5636363636363635	0.3872	100000
dar	-0.04851581133907601	4.300563584052066	4.25204777271299	4.267563903460731	6.254716981132075	0.71001	100000
ddo	-0.3163815666396319	4.5164797839292925	4.200098217289661	4.364328723484499	5.5607476635514015	0.02611	100000
deu	-0.25749236407677945	4.363343422775953	4.105851058699174	4.281765778856178	6.069306930693069	0.06947	100000
ekk	-0.042832482707674036	3.936808003619098	3.893975520911424	3.973593476852357	6.269565217391304	0.7946	100000
ell	-0.609284859354728	4.127309513591778	3.5180246542370504	3.9000807470050085	6.427350427350428	0.0	100000
enf	-0.1953118983580131	4.16179787484156	3.966485976483547	4.110642269611899	5.438775510204081	0.21396	100000
eng	-0.05999921572090283	4.548155710681437	4.488156494960534	4.534635658993317	4.861386138613861	0.66899	100000
ess	-0.5764353549764274	4.125038307158825	3.548602952182397	3.952915924917348	8.7	0.0	100000
eus	-0.026461795730783777	4.173080256279735	4.146618460548951	4.182505621577036	5.8203125	0.79989	100000
evn	-0.642651194368645	4.252044379438858	3.609393185070213	4.036256690769677	7.203252032520325	0.0	100000
fin	-0.24173586146475046	3.735928580839632	3.4941927193748814	3.8110696156603883	6.4298245614035086	0.04494	100000
fra	0.026740344919899073	4.653757323189915	4.6804976681098145	4.673015979772958	4.992307692307692	0.87054	100000
gld	-0.13441273755130645	4.217098922860982	4.082686185309676	4.234708900505917	6.653061224489796	0.35581	100000
gle	0.017864212499053345	4.653179607312617	4.67104381981167	4.647730595728739	5.725806451612903	0.88214	100000
heb	0.10650129388797103	3.744201446712204	3.850702740600175	3.9502666048697836	5.158878504672897	0.31724	100000
hin	-0.6148068213573215	4.617393530974945	4.002586709617623	4.298077253150089	7.14	0.00023	100000
hrv	-0.3740281410320736	4.1903470542527925	3.816318913220719	4.048323794869783	6.443548387096774	0.00338	100000
hun	0.3141959127452649	4.252112558517191	4.566308471262456	4.43614454427803	5.825	0.00039	100000
hye	0.11055806426354486	4.472267868930911	4.582825933194456	4.504802082819335	5.962962962962963	0.44195	100000
isl	-0.25429363081420675	4.365419816521632	4.111126185707425	4.359823160724363	5.982608695652174	0.06548	100000
ita	-0.7291341606154638	4.200470664812289	3.471336504196825	3.983417562571798	6.5984251968503935	0.0	100000
itl	-0.1371037562151214	4.574223168261417	4.437119412046296	4.469117124714293	6.418918918918919	0.29601	100000
jpn	-0.5348758185456446	4.050078475385956	3.515202656840311	3.869533393189075	6.287037037037037	0.0003	100000
kal	0.2539394352798645	3.8059168782132247	4.059856313493089	3.976724689525039	8.357142857142858	0.03848	100000
kan	-0.6798154072989719	3.993135298341021	3.313319891042049	3.7710455216229684	6.415841584158416	0.0	100000
kat	-0.7291410180451217	4.502130837578705	3.7729898195335836	4.263341506103386	6.660869565217391	0.0	100000
kaz	0.18241018000539766	3.9601915523420765	4.142601732347474	4.079263765184216	6.161538461538462	0.08262	100000
kca	-0.250542100445895	4.089334342785241	3.838792242339346	4.00869924206202	6.107843137254902	0.07912	100000
ket	0.0346326773415484	4.399182079238581	4.433814756580129	4.392431490575509	5.12	0.81147	100000
khk	0.1968394209803881	4.205087833076761	4.401927254057149	4.383885617165064	5.830645161290323	0.12122	100000
kmr	0.11491101913121948	4.014255327548815	4.129166346680035	4.0564037009557605	6.172727272727273	0.48486	100000
koi	-0.5388662902769337	4.6070301643934455	4.068163874116512	4.297460846115325	5.660550458715596	0.00116	100000
kor	0.28216390685429804	4.084335449233887	4.366499356088185	4.291105997978695	6.019047619047619	0.03243	100000
kpv	-0.45077619373101374	4.366515115792292	3.915738922061278	4.144597090705213	5.350877192982456	0.00408	100000
krl	0.029262857309735324	3.8269383893061524	3.8562012466158877	3.901794633747057	6.312977099236641	0.80812	100000
lat	-0.8966057657107922	4.415799069266665	3.519193303555873	4.07657572504516	7.224299065420561	0.0	100000
lav	-0.5729843180438468	4.22457962505745	3.651595307013603	4.012939873400461	6.75	0.0	100000
lbe	-0.31571707431550156	4.3582262773055565	4.042509202990055	4.197343877016705	6.81981981981982	0.01095	100000
lez	-0.05493816172663735	4.595063211765639	4.540125050039002	4.392579585451412	5.627272727272727	0.75554	100000
lit	-1.1026452887377327	4.79404132560512	3.691396036867387	4.365994230521856	7.328467153284672	0.0	100000
liv	-0.04112934609277552	4.297095780567783	4.255966434475008	4.2716779655982045	6.0578512396694215	0.80099	100000
mal	0.006223659389293701	4.019337178771731	4.025560838161025	4.068712062148872	8.903846153846153	0.96485	100000
mdf	0.014677005779673458	4.185932161637216	4.200609167416889	4.317349637978026	6.12280701754386	0.91773	100000
