language	diff	surp_initial	surp_final	surp_avg	length_avg	p_value	n_permutations
abk	-0.8651185390278129	3.6907193211298814	2.8256007821020686	3.5329771779182613	6.609523809523809	1e-05	100000
ady	-1.2452042388073403	4.266071032350644	3.020866793543304	3.7680159024144757	6.355769230769231	0.0	100000
ain	-1.1249186550618213	3.652644376953443	2.527725721891622	3.22251269388955	5.708333333333333	0.0	100000
ale	-2.0354403875599707	4.49521663090776	2.459776243347789	3.610905348860625	7.166666666666667	0.0	100000
arb	-0.9960685374203084	3.7207108787576053	2.724642341337297	3.471514473220034	6.0	0.0	100000
ava	-1.4040338336347533	4.452091714379553	3.0480578807447998	3.8295534009581003	6.897435897435898	0.0	100000
azj	-1.4857022174753096	4.431737360385579	2.9460351429102696	3.798192111783076	5.89908256880734	0.0	100000
bak	-0.9818822129828133	3.985885928511569	3.004003715528756	3.6400241114449736	5.761061946902655	0.0	100000
bel	-1.4251513771930466	4.351886324871572	2.926734947678525	3.822420584536763	6.091743119266055	0.0	100000
ben	-1.3968880101430061	4.440640550132597	3.0437525399895913	3.8520701517980735	6.165048543689321	0.0	100000
bre	-1.145743780418472	4.48385232724006	3.3381085468215876	3.9961723002147944	5.96078431372549	0.0	100000
bsk	-1.3879921506049242	4.30148093258893	2.913488781984006	3.6260133628304527	5.122222222222222	0.0	100000
bua	-1.264133014174106	4.346018707230065	3.0818856930559586	3.842726394781176	7.122137404580153	0.0	100000
bul	-1.1556609578544266	4.2191579998067	3.063497041952273	3.7874154371425	5.530973451327434	0.0	100000
cat	-1.193465077189635	4.079209226080866	2.8857441488912308	3.7059676267748154	5.590909090909091	0.0	100000
ces	-1.375290211338402	4.446113151630563	3.0708229402921607	3.901463391550245	6.2105263157894735	0.0	100000
che	-1.5217273573833916	4.464840412804949	2.9431130554215574	3.8089395307878484	5.803921568627451	0.0	100000
chv	-1.190179535141822	3.8411025826523946	2.6509230475105725	3.3750244463412047	5.6016260162601625	0.0	100000
ckt	-1.128547018116481	4.129196362276624	3.000649344160143	3.673544915072829	8.533980582524272	0.0	100000
cmn	-1.4011404930593412	4.407860166361543	3.0067196733022015	3.8802495303908415	5.08	0.0	100000
cym	-1.2124563844380627	4.089242337367609	2.8767859529295463	3.7039624716464488	5.681034482758621	0.0	100000
dan	-1.244338470585301	4.342322114814412	3.0979836442291115	3.9754077555521445	5.5636363636363635	0.0	100000
dar	-1.3545239926508685	4.304699302380137	2.9501753097292687	3.7382915677570763	6.254716981132075	0.0	100000
ddo	-1.635575008180151	4.516898360929332	2.881323352749181	3.832212667685855	5.5607476635514015	0.0	100000
deu	-1.4585782829989027	4.36365737520485	2.9050790922059475	3.7827376836488393	6.069306930693069	0.0	100000
ekk	-1.1503027765229241	3.936874566596488	2.786571790073564	3.5006744947819732	6.269565217391304	0.0	100000
ell	-1.5353059966735922	4.127334662661788	2.5920286659881957	3.513663393129196	6.427350427350428	0.0	100000
enf	-1.4525574111040829	4.162012664152653	2.70945525304857	3.5867544674901426	5.438775510204081	0.0	100000
eng	-1.568788605813428	4.548958277741676	2.9801696719282478	3.921310463255119	4.861386138613861	0.0	100000
ess	-1.331102242219207	4.12512529292014	2.7940230507009334	3.636061536674912	8.7	0.0	100000
eus	-1.2297585273490852	4.17311540372847	2.943356876379385	3.6677587568719416	5.8203125	0.0	100000
evn	-1.5704949703872422	4.252059193696803	2.6815642233095605	3.6568483494051915	7.203252032520325	0.0	100000
fin	-1.1955088586345224	3.736136002224887	2.5406271435903647	3.424698688834285	6.4298245614035086	0.0	100000
fra	-1.6121007068588353	4.653771761991566	3.0416710551327304	3.9945010875623455	4.992307692307692	0.0	100000
gld	-1.2287841620957929	4.217106785084347	2.9883226229885542	3.7903629021448593	6.653061224489796	0.0	100000
gle	-1.4440446404618843	4.656212524696614	3.21216788423473	4.055788564657122	5.725806451612903	0.0	100000
heb	-1.1088582613226965	3.7445954075112153	2.635737146188519	3.449088196685638	5.158878504672897	0.0	100000
hin	-1.6835431564949124	4.617534455104163	2.933991298609251	3.8323670964717063	7.14	0.0	100000
hrv	-1.4282156579955871	4.19039820302192	2.762182545026333	3.6004092874373117	6.443548387096774	0.0	100000
hun	-1.0596625046053192	4.254769477314418	3.1951069727090986	3.8877542549546558	5.825	0.0	100000
hye	-1.2911007798688514	4.472771192590394	3.1816704127215427	3.9357908689081236	5.962962962962963	0.0	100000
isl	-1.4148188992324622	4.365451482862665	2.9506325836302025	3.86918874734012	5.982608695652174	0.0	100000
ita	-1.6624431979743184	4.200604621310069	2.538161423335751	3.6103116671962048	6.5984251968503935	0.0	100000
itl	-1.356082141532867	4.574326119820277	3.2182439782874104	3.9590629089896296	6.418918918918919	0.0	100000
jpn	-1.5314003332994641	4.050194254798759	2.518793921499295	3.4447950580767617	6.287037037037037	0.0	100000
kal	-0.6489683033237639	3.805923525521312	3.1569552221975483	3.605114440781542	8.357142857142858	0.0	100000
kan	-1.562439774530477	3.9936908979030346	2.4312511233725576	3.418205922292708	6.415841584158416	0.0	100000
kat	-1.7148743149911447	4.502165260867796	2.787290945876651	3.8464770240653197	6.660869565217391	0.0	100000
kaz	-1.0396491270729848	3.9614686873420553	2.9218195602690704	3.5802312460854586	6.161538461538462	0.0	100000
kca	-1.4883885066545766	4.089492402365562	2.6011038957109855	3.5295744313531054	6.107843137254902	0.0	100000
ket	-1.472134886138058	4.399779581174992	2.927644695036934	3.7935695604473563	5.12	0.0	100000
khk	-1.1187329290955188	4.205540239810944	3.086807310715425	3.846708239551028	5.830645161290323	0.0	100000
kmr	-1.150250190375992	4.014697313226148	2.864447122850156	3.5363670016668993	6.172727272727273	0.0	100000
koi	-1.8868525812917514	4.607238121572256	2.7203855402805046	3.7763172227180726	5.660550458715596	0.0	100000
kor	-1.0589771203456966	4.08527856567279	3.0263014453270936	3.751236817235855	6.019047619047619	0.0	100000
kpv	-1.8188147652968292	4.3668903733554645	2.5480756080586353	3.621361275208312	5.350877192982456	0.0	100000
krl	-1.03258325238067	3.827205543481666	2.794622291100996	3.4783455224259185	6.312977099236641	0.0	100000
lat	-1.7745407803355597	4.415820803167984	2.641280022832424	3.7114512523117544	7.224299065420561	0.0	100000
lav	-1.5391502197745774	4.224622418151962	2.6854721983773846	3.625268345756665	6.75	0.0	100000
lbe	-1.5004773432768892	4.358351244371405	2.8578739010945156	3.7289857719120376	6.81981981981982	0.0	100000
lez	-1.6105899479263304	4.5960213942522605	2.98543144632593	3.8101392712963813	5.627272727272727	0.0	100000
lit	-1.977959309141871	4.7944260736161475	2.8164667644742765	4.000755136852582	7.328467153284672	0.0	100000
liv	-1.278883387983122	4.29723055561149	3.018347167628368	3.7797867858217677	6.0578512396694215	0.0	100000
mal	-0.8894145595896341	4.019921500464591	3.1305069408749566	3.697741643354075	8.903846153846153	0.0	100000
mdf	-1.2293835909378843	4.188420531798525	2.9590369408606407	3.8195220038452904	6.12280701754386	0.0	100000
mhr	-1.397352961221138	3.997978310712746	2.600625349491608	3.416240528043273	5.723214285714286	0.0	100000
mnc	-1.648798294995601	4.094483622824997	2.445685327829396	3.4168585260983337	6.821917808219178	0.0	100000
mns	-1.2710668470475248	3.9373086940450706	2.6662418469975457	3.401274772993664	7.553571428571429	0.0	100000
mrj	-1.3867725210430724	4.397609481319861	3.010836960276789	3.822517767972887	6.066115702479339	0.0	100000
myv	-1.2137880967321935	3.92456748489113	2.7107793881589366	3.570486023296081	6.339285714285714	0.0	100000
nio	-0.954670472301995	4.078091758461226	3.123421286159231	3.8274740326981296	7.033333333333333	0.0	100000
niv	-1.5708551091224576	4.602220493470523	3.0313653843480655	3.9224069593265667	4.757894736842105	0.0	100000
nld	-1.3815231852402046	4.428323409501572	3.0468002242613674	3.8622118122715996	5.719298245614035	0.0	100000
nor	-1.9555902628582071	4.90373392690383	2.948143664045623	4.081025942875233	5.456896551724138	0.0	100000
olo	-1.000747857349908	4.029920198318462	3.029172340968554	3.7696657575284354	6.304347826086956	0.0	100000
oss	-1.7247067220360943	4.631135558277841	2.906428836241747	3.9825515628529864	6.690476190476191	0.0	100000
pbu	-1.4725086196912498	4.47942950004214	3.00692088035089	3.850077629527304	6.297297297297297	0.0	100000
pes	-1.3072182852045295	3.7983819375435512	2.4911636523390217	3.229015274165115	7.379032258064516	0.0	100000
pol	-1.514275146786071	4.594609080680779	3.0803339338947078	4.026557361603674	5.6875	0.0	100000
por	-1.7019578319202107	4.794480571797285	3.0925227398770745	4.1017967817966445	6.007936507936508	0.0	100000
ron	-1.0749560142210974	4.278587187150018	3.2036311729289206	3.8867493764886762	5.692913385826771	0.0	100000
rus	-1.4443444908494718	4.822587607499042	3.37824311664957	4.3126039057171255	6.186274509803922	0.0	100000
sah	-1.1229898350617535	4.177215794867924	3.0542259598061703	3.7886897695182005	5.884955752212389	0.0	100000
sel	-1.6122647218550021	4.3149651462785785	2.7027004244235764	3.5899109354845855	6.733333333333333	0.0	100000
sjd	-0.3858189554206408	3.5382557144581956	3.152436759037555	3.530118582718976	6.475409836065574	0.00309	100000
slk	-1.4395600542332603	4.355501692878302	2.9159416386450414	3.788503691350137	6.080645161290323	0.0	100000
slv	-1.337995182743696	4.221777438611696	2.8837822558679997	3.62537728155272	6.654545454545454	0.0	100000
sma	-2.0102213953189993	4.228442466462779	2.2182210711437795	3.4498182355466134	7.547008547008547	0.0	100000
sme	-0.8559845279314846	3.765495961775098	2.909511433843613	3.509642975415185	7.24	0.0	100000
smj	-0.690656083544031	3.829339677726883	3.138683594182852	3.6280750422146815	7.503875968992248	0.0	100000
smn	-0.9159144045339773	3.81813257351066	2.902218168976683	3.578679018515257	6.372727272727273	0.0	100000
sms	-1.1964490474211638	4.197343003577082	3.000893956155918	3.907161805819829	7.130434782608695	0.0	100000
spa	-1.4877929635285363	4.166288207195422	2.678495243666886	3.626900818213646	6.222222222222222	0.0	100000
sqi	-1.563483274950503	4.509556383800786	2.9460731088502827	3.8994980333367644	5.307017543859649	0.0	100000
swe	-1.4459428737035767	4.528066860163797	3.0821239864602203	4.02559694296343	6.040983606557377	0.0	100000
tam	-0.5113251592254602	3.778481588319809	3.267156429094349	3.67564238297829	7.900990099009901	0.0	100000
tat	-1.3468576805915333	4.3219585257038435	2.97510084511231	3.808900041191583	5.401709401709402	0.0	100000
tel	-1.284876759092917	4.203397835835371	2.9185210767424543	3.794399173794292	7.683168316831683	0.0	100000
tur	-1.391931336607417	4.145828332534644	2.753896995927227	3.581137520763019	6.084033613445378	0.0	100000
udm	-1.7922965597165117	4.4342863856889725	2.641989825972461	3.715744584519646	5.672413793103448	0.0	100000
ukr	-1.6701296092014184	4.555838912252396	2.8857093030509775	3.8673594597131684	6.314285714285714	0.0	100000
uzn	-1.8142177242380075	4.627243894221734	2.8130261699837265	3.889716530332989	5.990196078431373	0.0	100000
vep	-0.8535249929433069	3.8710351658655	3.017510172922193	3.6284411758934816	5.747747747747748	0.0	100000
xal	-1.4228601101830858	4.444547154612485	3.021687044429399	3.879004313891246	6.178571428571429	0.0	100000
ykg	-0.9310252294679691	4.041039433915163	3.110014204447194	3.7615071032829546	7.454545454545454	0.0	100000
yrk	-0.5396217211020571	3.8153275398638447	3.2757058187617876	3.7091669193284442	6.560344827586207	1e-05	100000
yux	-1.150018148964675	4.229390494259754	3.0793723452950794	3.827678863788492	6.116279069767442	0.0	100000
