language	diff	surp_initial	surp_final	surp_avg	length_avg	p_value	n_permutations
abk	-0.1391863537515583	3.281074780890816	3.1418884271392575	3.2940101776397293	6.609523809523809	0.55746	100000
ady	-0.3510573886012516	3.7904168521507815	3.43935946354953	3.5739634888393916	6.355769230769231	0.10355	100000
ain	0.08761313151982142	3.0853982388041907	3.173011370324012	3.1322786807565506	5.708333333333333	0.54824	100000
ale	-1.210913914585272	3.5928995982237484	2.3819856836384763	3.0422100954867406	7.166666666666667	0.0	100000
arb	0.055647017563434265	3.2772958327211987	3.332942850284633	3.4995707177311837	6.0	0.69976	100000
ava	-0.5702589452417035	3.6453321824173677	3.075073237175664	3.2431971911345205	6.897435897435898	0.00492	100000
azj	-0.09634220097214019	3.455612174601548	3.3592699736294076	3.4628952649238767	5.89908256880734	0.60229	100000
bak	0.3030283133132947	3.32693511689138	3.6299634302046746	3.5501837253443194	5.761061946902655	0.10988	100000
bel	-0.35860806157698066	3.7859650762278925	3.427357014650912	3.4723402076891143	6.091743119266055	0.08667	100000
ben	-0.3657591166138361	4.012530270274825	3.6467711536609886	3.754532664469754	6.165048543689321	0.12506	100000
bre	0.39448725261894424	3.4697712188620837	3.864258471481028	3.590010387231462	5.96078431372549	0.08292	100000
bsk	-0.44570761507860013	4.231280609027103	3.785572993948503	3.8155473728031843	5.122222222222222	0.0587	100000
bua	-0.3252668357528723	3.312145490036727	2.9868786542838546	3.1423890909295995	7.122137404580153	0.05007	100000
bul	-0.1911180981621694	3.652699614507434	3.4615815163452646	3.564945753899723	5.530973451327434	0.20957	100000
cat	-0.09980593199531151	3.710919137818343	3.6111132058230315	3.6545686824567083	5.590909090909091	0.5477	100000
ces	-0.2172265498087782	3.5569221793754635	3.3396956295666853	3.4809558333271666	6.2105263157894735	0.21388	100000
che	-0.22753663078910513	4.095750078529008	3.868213447739903	3.8601001490589266	5.803921568627451	0.33678	100000
chv	0.09459528720717847	3.373461179657358	3.4680564668645366	3.4724470299043526	5.6016260162601625	0.44257	100000
ckt	-0.9809111224357405	3.631543493472381	2.6506323710366404	3.1668251233233096	8.533980582524272	0.0	100000
cmn	-0.22603241146691033	3.4022851043262	3.17625269285929	3.3146750479976697	5.08	0.23206	100000
cym	-0.0991835563542991	3.7433416140331515	3.6441580576788524	3.742138944606928	5.681034482758621	0.51702	100000
dan	0.2521327515321814	3.5688552012353796	3.820987952767561	3.7995578640013594	5.5636363636363635	0.21794	100000
dar	-0.5270511708442842	3.9608333874784143	3.43378221663413	3.7694156113023047	6.254716981132075	0.0086	100000
ddo	-0.46500476280960434	4.098889442581665	3.633884679772061	3.823210674801525	5.5607476635514015	0.03635	100000
deu	-0.09808444898187618	3.4694307284069272	3.371346279425051	3.406883950221758	6.069306930693069	0.62035	100000
ekk	-0.45712572164509613	3.6266257827459043	3.169500061100808	3.3875796435366654	6.269565217391304	0.01283	100000
ell	-0.8332296717576892	3.555325543046557	2.7220958712888677	3.2133335651633996	6.427350427350428	0.0	100000
enf	-0.5893663683279957	3.8959734762990275	3.3066071079710317	3.6070520500469327	5.438775510204081	0.01685	100000
eng	0.15684343989770966	3.8583875168533686	4.015230956751078	3.8071717562421727	4.861386138613861	0.46352	100000
ess	-0.9505468032034883	3.276202015052016	2.325655211848528	2.9111751869705556	8.7	0.0	100000
eus	-0.444153791987731	3.4596254597317873	3.0154716677440563	3.2640764971500174	5.8203125	0.00195	100000
evn	-0.7781702139543558	3.3735815310402923	2.5954113170859365	3.057952480214499	7.203252032520325	1e-05	100000
fin	-0.27766046131262234	3.228517804439891	2.9508573431272684	3.1795127707828934	6.4298245614035086	0.07025	100000
fra	0.1869760375676881	3.912404953023703	4.099380990591391	3.8576168974119627	4.992307692307692	0.30229	100000
gld	-0.4655041410302627	3.460854759957167	2.995350618926904	3.253123892624454	6.653061224489796	0.01667	100000
gle	0.16540871944536129	3.5489463179133645	3.7143550373587257	3.6069832038252665	5.725806451612903	0.41774	100000
heb	0.15458826651663315	3.181461656675021	3.3360499231916543	3.3904986182887296	5.158878504672897	0.34646	100000
hin	-0.3216876295301132	3.5097495704090207	3.1880619408789075	3.364246847201651	7.14	0.12092	100000
hrv	-0.5911515931426297	3.6499582295201596	3.05880663637753	3.417729982155864	6.443548387096774	0.00057	100000
hun	0.36069804308069564	3.4135463503549848	3.7742443934356804	3.6721431032973983	5.825	0.04812	100000
hye	-0.5744453728946364	4.034796644401748	3.4603512715071116	3.8547443538639734	5.962962962962963	0.00549	100000
isl	-0.2600226185200851	3.496218999987062	3.2361963814669767	3.426079664934013	5.982608695652174	0.186	100000
ita	-0.7938882245528878	3.4521321351539003	2.6582439106010125	3.1433618621417256	6.5984251968503935	0.0	100000
itl	-0.5385966981131878	4.117386462207178	3.5787897640939903	3.8518285232528973	6.418918918918919	0.02175	100000
jpn	-0.8667622403929309	3.383241306618945	2.516479066226014	2.982779680122741	6.287037037037037	0.0	100000
kal	-0.5977798697572037	2.9269986204610543	2.3292187507038506	2.6769147127055137	8.357142857142858	2e-05	100000
kan	-0.16755581901259342	3.185059234114775	3.0175034151021816	3.3504040047912884	6.415841584158416	0.25292	100000
kat	-1.0526482683463385	3.8575239596289146	2.804875691282576	3.4542032543224264	6.660869565217391	0.0	100000
kaz	0.18300878984117963	3.279385889180741	3.4623946790219207	3.450693996771156	6.161538461538462	0.30618	100000
kca	-0.24520664704080009	3.221694715637201	2.976488068596401	3.1647367593313684	6.107843137254902	0.17867	100000
ket	-0.4367698961536495	4.216556789633917	3.7797868934802676	3.9276448054252158	5.12	0.10695	100000
khk	0.39578845131153617	3.1628021720367236	3.55859062334826	3.385456883624552	5.830645161290323	0.01177	100000
kmr	0.0014472441092636679	3.5576646289480562	3.55911187305732	3.502830031198594	6.172727272727273	0.99432	100000
koi	-0.5491415260347541	4.13404214227236	3.584900616237606	3.7209740619554883	5.660550458715596	0.007	100000
kor	-0.4244947040621674	3.870520480421126	3.4460257763589586	3.7246749793464997	6.019047619047619	0.02287	100000
kpv	-0.7524026251806504	4.095682985488086	3.3432803603074355	3.6918269568124287	5.350877192982456	0.00016	100000
krl	-0.5485053073114212	3.3155698964156617	2.7670645891042405	3.0689333759623665	6.312977099236641	0.00012	100000
lat	-0.8821184133577824	3.517708170003276	2.6355897566454938	3.1074884304507235	7.224299065420561	0.0	100000
lav	-0.3502772811096446	3.2559151918864853	2.9056379107768406	3.125491156185883	6.75	0.02062	100000
lbe	-0.3532112104257332	3.459837082435181	3.106625872009448	3.3495558780129606	6.81981981981982	0.11789	100000
lez	-0.27309343011947096	4.138093067380214	3.864999637260743	3.790758949876293	5.627272727272727	0.21876	100000
lit	-0.9789830272632347	3.6732280621380022	2.6942450348747675	3.188848748695261	7.328467153284672	0.0	100000
liv	0.18835345957703575	3.489254026312366	3.6776074858894017	3.613924831702571	6.0578512396694215	0.34918	100000
mal	-1.0619421857950542	3.3919601655775575	2.3300179797825034	2.7681844162300093	8.903846153846153	0.0	100000
mdf	-0.4688961540561234	3.571939841665502	3.1030436876093788	3.429333263261291	6.12280701754386	0.01983	100000
mhr	-0.18434539569009534	3.400354501050675	3.2160091053605795	3.4432142953151867	5.723214285714286	0.32675	100000
mnc	-1.1028480514892203	3.3397176178068246	2.2368695663176044	2.792407145645984	6.821917808219178	0.0	100000
mns	-0.2781388007259431	3.2152162337953127	2.9370774330693696	3.1618731417699855	7.553571428571429	0.17434	100000
mrj	0.27063112065954664	3.337849752298213	3.6084808729577595	3.4530680565180005	6.066115702479339	0.20715	100000
