language	diff	surp_initial	surp_final	surp_avg	length_avg	p_value	n_permutations
abk	0.38505090814373055	2.7707750720817748	3.1558259802255053	3.106038361987679	6.609523809523809	0.05942	100000
ady	0.17351287640665225	3.308493587038832	3.4820064634454844	3.417311688646776	6.355769230769231	0.33147	100000
ain	0.2668895632998711	2.9362199640897515	3.2031095273896226	3.1109310506674874	5.708333333333333	0.05524	100000
ale	-0.84223459667195	3.236735407879465	2.394500811207515	2.894617831411928	7.166666666666667	4e-05	100000
arb	0.7034114380185281	2.654747310864078	3.358158748882606	3.2591251444940608	6.0	1e-05	100000
ava	0.1086172237139662	2.974742332721376	3.083359556435342	2.991441997728404	6.897435897435898	0.61163	100000
azj	0.44829808372505653	2.9174920454265614	3.365790129151618	3.259892794062899	5.89908256880734	0.0174	100000
bak	0.821232167139796	2.8242949572735885	3.6455271244133844	3.3996001878009063	5.761061946902655	0.0	100000
bel	0.2888363950685884	3.1434097894371793	3.4322461845057677	3.2299484471840927	6.091743119266055	0.18983	100000
ben	0.3849738736946162	3.279554926540839	3.664528800235455	3.4550420642831767	6.165048543689321	0.0933	100000
bre	0.838763766104524	3.0299928615743603	3.8687566276788843	3.405308007068121	5.96078431372549	0.0002	100000
bsk	0.5624094026965198	3.234282420847254	3.7966918235437737	3.4624122353453464	5.122222222222222	0.00876	100000
bua	-0.03388529181938438	3.034200177874753	3.0003148860553686	3.045909178558577	7.122137404580153	0.82668	100000
bul	0.42335902795248836	3.043394325646893	3.4667533535993815	3.316869240003646	5.530973451327434	0.00523	100000
cat	0.6309065189803613	2.9895320586472334	3.6204385776275947	3.3895699498593714	5.590909090909091	6e-05	100000
ces	0.3062257977169307	3.0400558070092796	3.3462816047262103	3.27237916864181	6.2105263157894735	0.07463	100000
che	0.6930464667463796	3.228273914019415	3.9213203807657946	3.592554346446802	5.803921568627451	0.00364	100000
chv	0.7556373317586793	2.750494809820779	3.5061321415794584	3.2659031938629983	5.6016260162601625	0.0	100000
ckt	-0.7591823787917131	3.4149354202507496	2.6557530414590365	3.0984622452198103	8.533980582524272	2e-05	100000
cmn	0.35403218184697804	2.8419530910263164	3.1959852728732945	3.1236203937000266	5.08	0.00861	100000
cym	0.638734169485653	3.037436713947283	3.676170883432936	3.48686254342027	5.681034482758621	4e-05	100000
dan	0.8713431132569296	2.9678382253195297	3.8391813385764593	3.5791953391354943	5.5636363636363635	2e-05	100000
dar	0.14694404550450013	3.3023616543205776	3.4493056998250777	3.5136154036161917	6.254716981132075	0.41478	100000
ddo	0.3917100105543363	3.2515776105187664	3.6432876210731027	3.4933548369067515	5.5607476635514015	0.07803	100000
deu	0.4337021308263984	2.946081018965473	3.3797831497918716	3.191340592735211	6.069306930693069	0.024	100000
ekk	0.17166943969401594	3.019528538058773	3.191197977752789	3.1429709689387515	6.269565217391304	0.34842	100000
ell	-0.5366003987697772	3.266430374383085	2.729829975613308	3.0980911086711496	6.427350427350428	0.00119	100000
enf	0.16431122814526677	3.1579312442252423	3.322242472370509	3.3147991842524918	5.438775510204081	0.45857	100000
eng	0.960891919491333	3.062562999292661	4.023454918783994	3.5409309604746415	4.861386138613861	0.0	100000
ess	-0.7140294672702496	3.050056662153717	2.336027194883467	2.8336660935422535	8.7	4e-05	100000
eus	-0.029747162393688242	3.050834324550896	3.0210871621572077	3.0974442228607817	5.8203125	0.82487	100000
evn	-0.41090566486441826	3.011963842501412	2.6010581776369937	2.9161000418908922	7.203252032520325	0.01359	100000
fin	0.2349547955022082	2.7303744009867383	2.9653291964889466	2.9907593892912905	6.4298245614035086	0.09951	100000
fra	0.9059142960838873	3.2121742867251646	4.118088582809052	3.592307570224499	4.992307692307692	0.0	100000
gld	-0.0995274733810505	3.104408845191822	3.0048813718107716	3.112765643001014	6.653061224489796	0.60274	100000
gle	0.8497084630865617	2.8931494793014885	3.74285794238805	3.397567787035576	5.725806451612903	1e-05	100000
heb	0.6508833940315708	2.6945855031204133	3.345468897151984	3.2164275218591216	5.158878504672897	0.0	100000
hin	0.21651282931281157	2.9793982676942927	3.1959110970071043	3.146323264694873	7.14	0.27307	100000
hrv	-0.11309738241607903	3.181113662848985	3.068016280432906	3.2254000471961035	6.443548387096774	0.48894	100000
hun	0.8470251979252006	2.9394132532260446	3.786438451151245	3.4947311795579648	5.825	0.0	100000
hye	0.08797109807516135	3.3881979325794624	3.476169030654624	3.651859143352795	5.962962962962963	0.63399	100000
isl	0.3160083265353282	2.9363983837559267	3.252406710291255	3.1840946650036623	5.982608695652174	0.06813	100000
ita	-0.3105606285817464	2.9756633667189405	2.665102738137194	2.961315317249661	6.5984251968503935	0.01723	100000
itl	-0.017153830213820775	3.6031100531922835	3.5859562229784627	3.6463156284823994	6.418918918918919	0.94042	100000
jpn	-0.4586298341382924	2.981900617263185	2.5232707831248926	2.819767705830958	6.287037037037037	0.0013	100000
kal	-0.4834878448843569	2.818531129737108	2.335043284852751	2.650893791962288	8.357142857142858	0.0004	100000
kan	0.37219331774545683	2.654419134260658	3.026612452006115	3.1962960119344763	6.415841584158416	0.01279	100000
kat	-0.5717606664786792	3.381004119226343	2.8092434527476637	3.2719866086504044	6.660869565217391	0.00018	100000
kaz	0.6945355952216947	2.800851553362871	3.4953871485845656	3.2764795971418414	6.161538461538462	1e-05	100000
kca	0.3289561605322566	2.658461411021678	2.9874175715539346	2.9721941990841163	6.107843137254902	0.07967	100000
ket	0.514416842628854	3.2811844228046065	3.7956012654334605	3.5857095049959495	5.12	0.03102	100000
khk	0.9520887901979864	2.623778850015501	3.5758676402134872	3.1842484705008873	5.830645161290323	0.0	100000
kmr	0.7167901297176784	2.866164625333874	3.5829547550515524	3.2656580308984844	6.172727272727273	0.00112	100000
koi	0.3287754834292804	3.2678862012336776	3.596661684662958	3.405892453354733	5.660550458715596	0.11878	100000
kor	0.3623930612030759	3.0962241636334906	3.4586172248365665	3.444343091223814	6.019047619047619	0.05829	100000
kpv	0.2541767340377601	3.1016115303858482	3.3557882644236083	3.3369434518963503	5.350877192982456	0.20078	100000
krl	-0.06559002514837875	2.8365845210016376	2.770994495853259	2.8786735737266325	6.312977099236641	0.6061	100000
lat	-0.5011547206971674	3.144274210001745	2.6431194893045777	2.9628825947036175	7.224299065420561	0.00783	100000
lav	0.039607063471280846	2.871581956515949	2.91118901998723	2.989932296051644	6.75	0.77659	100000
lbe	0.12360358230928448	2.99338017680944	3.1169837591187246	3.1744784363283687	6.81981981981982	0.58426	100000
lez	0.652331101696201	3.235040314841786	3.887371416537987	3.47179605791277	5.627272727272727	0.00485	100000
lit	-0.4939868631523576	3.194204953843796	2.7002180906914384	2.9952682820886785	7.328467153284672	0.00188	100000
liv	0.8682676672517924	2.8224007442209924	3.690668411472785	3.3879176027901985	6.0578512396694215	1e-05	100000
mal	-0.6954038480831004	3.056045893668973	2.3606420455858728	2.6763517735037134	8.903846153846153	1e-05	100000
mdf	0.11429814758673684	3.002224771961099	3.116522919547836	3.2031507457319663	6.12280701754386	0.56839	100000
mhr	0.41649777010649913	2.815344558971632	3.2318423290781313	3.2327877344135243	5.723214285714286	0.03605	100000
mnc	-0.7253813132156122	2.9740084113683842	2.248627098152772	2.6672274293474985	6.821917808219178	0.0	100000
mns	0.18139025490264116	2.7931506326509234	2.9745408875535646	3.0361293482831386	7.553571428571429	0.37021	100000
mrj	0.8277071202769375	2.804821522889105	3.6325286431660424	3.2796510925459734	6.066115702479339	4e-05	100000
myv	0.2715378152952548	2.9230528106452454	3.1945906259405	3.139098984722189	6.339285714285714	0.16434	100000
nio	0.21136508478246752	3.0198224142037517	3.2311874989862193	3.2070268257335925	7.033333333333333	0.22295	100000
niv	0.7245501416713425	3.370100328898111	4.094650470569453	3.886341216873087	4.757894736842105	8e-05	100000
nld	0.8301075127325905	2.7655538268127478	3.5956613395453383	3.161612100133909	5.719298245614035	0.0	100000
nor	0.7445915445564752	2.771639422309542	3.516230966866017	3.154757265426073	5.456896551724138	7e-05	100000
olo	0.34979127208086913	2.882601686041726	3.232392958122595	3.1263570036461132	6.304347826086956	0.02241	100000
oss	-0.1319072384517499	3.519050187164869	3.387142948713119	3.6028160014673047	6.690476190476191	0.52327	100000
pbu	0.08364813062113896	3.3934836285180277	3.4771317591391666	3.4056351757135124	6.297297297297297	0.7442	100000
pes	0.11642513045786584	2.7879295313262	2.904354661784066	2.8511835614155556	7.379032258064516	0.55594	100000
pol	0.32355150948853906	3.317291293087085	3.640842802575624	3.590736445792757	5.6875	0.0837	100000
por	-0.0714990468963057	3.327514388408417	3.256015341512111	3.44326430870829	6.007936507936508	0.66225	100000
ron	0.9669185839945418	3.0334862517852943	4.000404835779836	3.6199121963579866	5.692913385826771	0.0	100000
rus	0.4437021279655582	3.3053655189885287	3.749067646954087	3.592661041904415	6.186274509803922	0.01804	100000
sah	0.8778463418111588	2.6962359422425353	3.574082284053694	3.184220199558112	5.884955752212389	0.0	100000
sel	-0.4415452319779227	3.1846355468241123	2.7430903148461896	3.0177610488047732	6.733333333333333	0.03442	100000
sjd	1.307385688183921	2.2176946631083916	3.5250803512923126	2.87358397153296	6.475409836065574	0.0	100000
slk	0.12088389207149319	3.2164527916586594	3.3373366837301526	3.3971661166270892	6.080645161290323	0.48392	100000
slv	0.6144318535643705	2.6144120249263105	3.228843878490681	3.0009500399288878	6.654545454545454	0.00117	100000
sma	-0.2510490315139209	2.589946519175114	2.338897487661193	2.7914236107297405	7.547008547008547	0.04708	100000
sme	0.3903639897431601	2.4914217250622754	2.8817857148054355	2.853016759253302	7.24	0.00747	100000
smj	0.4884689257214565	2.3440711017921587	2.832540027513615	2.603688193524658	7.503875968992248	0.00088	100000
smn	0.7772713197064207	2.616773246690768	3.3940445663971888	3.1161205836894768	6.372727272727273	8e-05	100000
sms	0.23832328010612036	2.907330138250507	3.1456534183566274	3.0730466605952014	7.130434782608695	0.21299	100000
spa	-0.1562836792607043	3.0402255035097547	2.8839418242490504	3.0795647041790075	6.222222222222222	0.15882	100000
sqi	0.4793906255556726	3.2094410674393625	3.688831692995035	3.503235543115478	5.307017543859649	0.00414	100000
swe	1.525567429402917	2.3291839824932423	3.854751411896159	3.085255721981296	6.040983606557377	0.0	100000
tam	0.11938979456994403	2.7232462240036974	2.8426360185736415	2.8388750955994935	7.900990099009901	0.51667	100000
tat	0.869953714349629	2.7830473613951487	3.6530010757447777	3.4255906442830284	5.401709401709402	0.0	100000
tel	-0.5509592227372138	3.1390929212569096	2.588133698519696	3.110110190722339	7.683168316831683	0.00048	100000
tur	0.42760664289045724	2.7943001867453456	3.221906829635803	3.1235001456424367	6.084033613445378	0.01532	100000
udm	0.0976741642420067	3.214805266715337	3.3124794309573438	3.3818199742713184	5.672413793103448	0.66704	100000
