language	diff	surp_initial	surp_final	surp_avg	length_avg	p_value	n_permutations
abk	-0.4227754644525854	4.344679708096988	3.921904243644403	4.278791642514306	6.609523809523809	0.00999	100000
ady	-0.4953475411885826	4.699304280869471	4.203956739680889	4.39966043675175	6.355769230769231	0.0037	100000
ain	-0.14128168072137592	3.9051376424315905	3.7638559617102145	3.8396866148061775	5.708333333333333	0.0621	100000
ale	-0.676032136232843	4.803860939619324	4.127828803386481	4.453043357153773	7.166666666666667	0.0	100000
arb	-0.4871819227211849	4.330383954077038	3.8432020313558533	4.211765845145266	6.0	7e-05	100000
ava	-0.4262996519999511	5.0223351609866995	4.596035508986748	4.7552386561807145	6.897435897435898	0.00022	100000
azj	-0.31574674735375474	4.751251559811629	4.435504812457874	4.617358132701645	5.89908256880734	0.00216	100000
bak	-0.08810708974415427	4.616145398679083	4.528038308934929	4.630025558335877	5.761061946902655	0.37693	100000
bel	-0.40063381778355645	4.887090234435664	4.486456416652108	4.697505704950728	6.091743119266055	6e-05	100000
ben	-0.3535013394475923	4.982989415158513	4.6294880757109205	4.789589935322997	6.165048543689321	0.01984	100000
bre	-0.11829297540624051	4.993952334355685	4.875659358949444	4.934201646575092	5.96078431372549	0.26057	100000
bsk	-0.4554631732128289	5.022421291139391	4.566958117926562	4.631272568452506	5.122222222222222	0.00099	100000
bua	-0.4479985042772725	4.626432790894023	4.17843428661675	4.410939778773031	7.122137404580153	1e-05	100000
bul	-0.19726554623044112	4.665732364316959	4.468466818086518	4.553527991779903	5.530973451327434	0.02563	100000
cat	-0.35131110278042943	4.700290827028679	4.34897972424825	4.575094728204939	5.590909090909091	0.00118	100000
ces	-0.27645597714329906	4.717458236411698	4.441002259268399	4.566287272297151	6.2105263157894735	0.00287	100000
che	-0.642507915431155	5.143908671838562	4.501400756407407	4.782146035433001	5.803921568627451	0.0	100000
chv	-0.38751440975401064	4.513860480636762	4.126346070882751	4.327884309853966	5.6016260162601625	0.0	100000
ckt	-0.30055741648182543	4.306549663836902	4.005992247355077	4.16709564285573	8.533980582524272	0.0	100000
cmn	-0.3478477309755732	5.148115148430779	4.800267417455206	4.975092609683673	5.08	0.00199	100000
cym	-0.43990122417510946	4.679733082373153	4.239831858198044	4.477019860486581	5.681034482758621	0.0	100000
dan	-0.12981161995367518	5.019621526725364	4.8898099067716885	5.027386249159322	5.5636363636363635	0.28112	100000
dar	-0.4617187940921168	4.849175986144367	4.38745719205225	4.59085763738019	6.254716981132075	1e-05	100000
ddo	-0.6226960197575204	5.127090883981825	4.504394864224305	4.800645775668364	5.5607476635514015	0.0	100000
deu	-0.5248113455495886	5.004294718227989	4.4794833726784	4.75258842738904	6.069306930693069	0.0	100000
