language	diff	surp_initial	surp_final	surp_avg	length_avg	p_value	n_permutations
abk	-0.7491327272250805	4.550659462832539	3.8015267356074585	4.341166913406648	6.609523809523809	0.0	100000
ady	-0.941714177108727	4.92275376545313	3.9810395883444034	4.436712226965744	6.355769230769231	0.0	100000
ain	-0.517930265764396	4.135699239290424	3.6177689735260277	3.921016544724504	5.708333333333333	0.0	100000
ale	-0.9913448754520648	4.990729718282819	3.999384842830754	4.5089987177411635	7.166666666666667	0.0	100000
arb	-0.8495062475042139	4.553190381803808	3.703684134299594	4.273593239775443	6.0	0.0	100000
ava	-0.9632275783891142	5.211498838874156	4.2482712604850414	4.734120812241898	6.897435897435898	0.0	100000
azj	-0.9133572998865551	4.975142642627798	4.061785342741243	4.600843642566755	5.89908256880734	0.0	100000
bak	-0.7426575141017366	4.852635710087699	4.1099781959859625	4.608914196351419	5.761061946902655	0.0	100000
bel	-0.9793769212829453	5.107197815052232	4.127820893769287	4.690507664080876	6.091743119266055	0.0	100000
ben	-0.9731424400289841	5.190632407369297	4.217489967340313	4.741803463211429	6.165048543689321	0.0	100000
bre	-0.7896882930241231	5.225165929825478	4.435477636801354	4.8823801990678435	5.96078431372549	0.0	100000
bsk	-1.220267383793673	5.279602043937754	4.0593346601440805	4.590183183254388	5.122222222222222	0.0	100000
bua	-0.816995070829373	4.82683762171103	4.009842550881657	4.458254073764806	7.122137404580153	0.0	100000
bul	-0.7977905141970689	4.90211332171364	4.104322807516571	4.541704708986662	5.530973451327434	0.0	100000
cat	-0.9667974388341376	4.949612618251281	3.982815179417144	4.569893362264956	5.590909090909091	0.0	100000
ces	-0.8149627021082058	4.9389047428679245	4.123942040759719	4.568795421774741	6.2105263157894735	0.0	100000
che	-1.3242537712154832	5.394442758974241	4.070188987758758	4.764352047295908	5.803921568627451	0.0	100000
chv	-0.939823978477055	4.770834493992452	3.831010515515397	4.370424259613523	5.6016260162601625	0.0	100000
ckt	-0.5078917715459084	4.471544266502118	3.9636524949562095	4.248423540374957	8.533980582524272	0.0	100000
cmn	-1.2035599323470567	5.41616528950581	4.212605357158753	4.867754569780259	5.08	0.0	100000
cym	-0.9989820995672405	4.924155526917752	3.9251734273505114	4.4940656415759275	5.681034482758621	0.0	100000
dan	-0.8972288047544872	5.262657387076002	4.365428582321515	4.962456365769559	5.5636363636363635	0.0	100000
dar	-0.9849464763553417	5.052147580595153	4.067201104239811	4.583852002445638	6.254716981132075	0.0	100000
ddo	-1.275764205119427	5.369552532094397	4.09378832697497	4.778371229624999	5.5607476635514015	0.0	100000
deu	-1.0975802741849918	5.232349214785393	4.134768940600401	4.741984972849537	6.069306930693069	0.0	100000
ekk	-0.737882886105691	4.605208302304367	3.8673254161986756	4.3329491869213665	6.269565217391304	0.0	100000
