language	diff	surp_initial	surp_final	surp_avg	length_avg	p_value	n_permutations
af	-0.3701665117077759	3.66547199242635	3.295305480718574	3.4907664200405906	6.782	0.0	100000
ak	-0.2756638076866347	4.16816800725045	3.892504199563815	4.044862374232214	5.950537634408602	0.00029	100000
ar	-0.46711809632494594	3.992317679185962	3.525199582861016	3.893312504339963	5.476	0.0	100000
bg	-0.803582488495691	3.513225466869609	2.709642978373918	3.1570457145012187	7.24	0.0	100000
bn	0.23512110193139346	3.731325366162829	3.9664464680942224	3.8670868851726663	3.885	0.0004	100000
chr	-0.17036491361340644	5.202554251375606	5.032189337762199	5.1701612116968825	5.373	0.00237	100000
de	-0.6915414491434322	3.507173812870073	2.8156323637266407	3.213964056133951	7.593	0.0	100000
el	-1.0052483338208016	3.3850036178438208	2.379755284023019	2.9271860149866518	7.562	0.0	100000
en	-0.6649316482175052	3.628155541909663	2.9632238936921578	3.307105432599639	6.658	0.0	100000
es	-0.666945910398216	3.3871274661811546	2.7201815557829385	3.075686048410108	7.047	0.0	100000
et	-0.5319621229570428	3.4544243625796622	2.9224622396226194	3.1650820358576994	7.012	0.0	100000
eu	-0.8124538889867376	3.343810532888738	2.5313566439020003	2.9584085888250646	7.246	0.0	100000
fa	-0.4874031930564078	4.338104949792425	3.850701756736017	4.09886599302474	5.057	0.0	100000
fi	-0.6642421149800377	3.4824172588744347	2.818175143894397	3.164237222566846	7.369	0.0	100000
ga	-1.0013497770136088	3.8202430908387925	2.8188933138251837	3.3061802943654803	6.69	0.0	100000
gn	-0.31518229265318354	3.4854075517664196	3.170225259113236	3.3393562973746	6.918	0.0	100000
haw	-0.4574790396077746	4.051856249388325	3.5943772097805504	3.8235003072454106	6.36	0.0	100000
he	-0.2659474878338788	3.9099426722291173	3.6439951843952385	3.8252998335918207	5.108	0.0	100000
hi	-0.20833678082819773	4.293790266782907	4.08545348595471	4.241266845842285	5.424	0.00119	100000
hu	-0.23495320856060875	3.467758424436899	3.23280521587629	3.394537458768783	7.282	0.0	100000
id	-0.4186642729919585	3.368158323996174	2.9494940510042156	3.1919384694652018	6.565	0.0	100000
is	-0.637228647637766	3.676233384994985	3.039004737357219	3.3648294276128157	6.71	0.0	100000
it	-0.4240662963411803	3.3349532435703493	2.910886947229169	3.1037834769978234	7.015	0.0	100000
kn	-0.1033311643990169	4.115501957548702	4.012170793149685	4.098116395843773	3.925355450236967	0.11664	100000
lt	-0.5492505110088057	3.5840036875212835	3.034753176512478	3.360681453170592	7.239	0.0	100000
mr	0.012066443644260794	4.075542648790227	4.087609092434488	4.1125323066666715	4.01	0.81865	100000
no	-0.5034823537602837	3.821990721332969	3.318508367572685	3.5558611005917498	6.865	0.0	100000
nv	-0.3072413648487111	3.4660211715755267	3.1587798067268156	3.328765043424596	7.353891336270191	0.0	100000
pl	-0.4505946361185784	3.602735352576439	3.1521407164578608	3.3697308243342556	7.201	0.0	100000
pt	-0.6824114497095972	3.707651226765463	3.025239777055866	3.414404448315167	6.951	0.0	100000
ru	-0.37284518588285387	3.6973534150864484	3.3245082292035946	3.535930785416936	7.331	0.0	100000
sn	-0.1470260813779669	3.0487537087700636	2.9017276273920967	2.9902361020621737	6.917	0.00937	100000
sw	-0.32465260226130477	3.5352301516923066	3.210577549431002	3.3653233135739518	6.485	0.0	100000
ta	-0.2982217028532945	4.394754950722603	4.096533247869308	4.299416034332029	3.0866666666666664	0.00569	100000
te	-0.24229946055351803	5.023825679064622	4.781526218511104	4.9155049117301886	3.202054794520548	0.03422	100000
th	0.19305626712081203	4.579437461958344	4.772493729079156	4.74593166070117	4.797	0.00081	100000
tl	-0.3977485921767454	3.457175942119349	3.0594273499426037	3.312320735933666	6.824	0.0	100000
tr	-0.6483269724541509	3.6402920925463524	2.9919651200922015	3.3353102173251354	6.681	0.0	100000
tt	-0.7723417670071373	4.147555673257002	3.3752139062498645	3.797216465507495	6.558	0.0	100000
ur	-0.19009472642455627	4.500576800398323	4.310482073973767	4.411979361069534	4.813	0.00025	100000
zu	-0.3437015608439742	3.1060277226968456	2.7623261618528714	2.9439736523299214	7.551	0.0	100000
