language	diff	surp_initial	surp_final	surp_avg	length_avg	p_value	n_permutations
af	-1.2968737140219244	3.6656221809178247	2.3687484668959002	3.0947853626679316	6.782	0.0	100000
ak	-1.4255721762424511	4.168363942123045	2.7427917658805936	3.564350616502123	5.950537634408602	0.0	100000
ar	-1.6169596071985315	3.993113791832773	2.3761541846342413	3.4199344484390477	5.476	0.0	100000
bg	-1.5357050087967297	3.513617870171962	1.9779128613752324	2.8430834863060026	7.24	0.0	100000
bn	-1.3628124299194773	3.7317670595388277	2.3689546296193504	3.1830222862866977	3.885	0.0	100000
chr	-1.8921567680491829	5.203153121880327	3.3109963538311438	4.4335216902291155	5.373	0.0	100000
de	-1.439287721110885	3.50737828716119	2.068090566050305	2.886178526983185	7.593	0.0	100000
el	-1.6099008947141298	3.385265670204153	1.7753647754900233	2.665990012420344	7.562	0.0	100000
en	-1.5107399817351945	3.6290897324041222	2.1183497506689277	2.9508517262463307	6.658	0.0	100000
es	-1.430492416222625	3.3872562946137212	1.9567638783910963	2.7560069310413096	7.047	0.0	100000
et	-1.3172619088904578	3.4554701166086916	2.138208207718234	2.8367032353149075	7.012	0.0	100000
eu	-1.5059130633727718	3.344307840185613	1.838394776812841	2.6584483016188916	7.246	0.0	100000
fa	-1.7755624142215862	4.3386785455568715	2.5631161313352853	3.557818243808546	5.057	0.0	100000
fi	-1.4233112888240105	3.4826622764898647	2.0593509876658542	2.840234584858056	7.369	0.0	100000
ga	-1.836368047149548	3.820769913480245	1.984401866330697	2.943420731699071	6.69	0.0	100000
gn	-1.1889482260359125	3.4854799334733197	2.296531707437407	2.961511506564183	6.918	0.0	100000
haw	-1.4995404291341745	4.051994628130356	2.5524541989961818	3.3775857100645514	6.36	0.0	100000
he	-1.464392208646975	3.909974046973101	2.445581838326126	3.322025570878087	5.108	0.0	100000
hi	-1.521736004232293	4.293967073795737	2.772231069563444	3.6791929285520566	5.424	0.0	100000
hu	-1.0820754099061283	3.4679462530315037	2.3858708431253755	3.0367918606677433	7.282	0.0	100000
id	-1.2832232194993227	3.36844751687862	2.0852242973792974	2.8253770995124143	6.565	0.0	100000
is	-1.5009416791966332	3.6765105100947455	2.1755688308981123	3.00183552641544	6.71	0.0	100000
it	-1.23844530333781	3.3351925652751895	2.0967472619373795	2.7587087015534117	7.015	0.0	100000
kn	-1.7512632755417843	4.115761644040472	2.3644983684986873	3.391862421186794	3.925355450236967	0.0	100000
lt	-1.3630901940432572	3.584721643718018	2.221631449674761	3.0045316604647914	7.239	0.0	100000
mr	-1.599528505678094	4.075865047405546	2.4763365417274517	3.421085330321579	4.01	0.0	100000
no	-1.4325657789464263	3.8223623918096337	2.3897966128632073	3.1702224254395106	6.865	0.0	100000
nv	-1.1643870989161842	3.466548590724665	2.302161491808481	2.9530374142065363	7.353891336270191	0.0	100000
pl	-1.30878184219864	3.603370366957225	2.294588524758585	3.0153270863483925	7.201	0.0	100000
pt	-1.5212622430267628	3.709002420368497	2.187740177341734	3.0642469081303814	6.951	0.0	100000
ru	-1.2795321709412342	3.6984480289775132	2.418915858036279	3.153132778956948	7.331	0.0	100000
sn	-0.9452865302704536	3.0491353066776985	2.103848776407245	2.6514351473611995	6.917	0.0	100000
sw	-1.2474059934316526	3.535349325692793	2.28794333226114	2.9698283450935916	6.485	0.0	100000
ta	-2.2178748726204063	4.394983139892692	2.1771082672722857	3.4517230647460218	3.0866666666666664	0.0	100000
te	-2.393985379418186	5.0259612921749985	2.6319759127568125	3.999693197929984	3.202054794520548	0.0	100000
th	-1.523472981654491	4.580034024569053	3.056561042914562	4.022462437108652	4.797	0.0	100000
tl	-1.2627248441564856	3.457528015917658	2.1948031717611722	2.94254326925619	6.824	0.0	100000
tr	-1.5125815972043695	3.6405278367766516	2.127946239572282	2.976449655802421	6.681	0.0	100000
tt	-1.7613180210971895	4.147655450630943	2.386337429533753	3.358178941360162	6.558	0.0	100000
ur	-1.6521421178121205	4.501047248569059	2.848905130756939	3.8043856878669193	4.813	0.0	100000
zu	-1.067638531806678	3.106328137011292	2.038689605204614	2.6252550911148855	7.551	0.0	100000
