language	diff	surp_initial	surp_final	surp_avg	length_avg	p_value	n_permutations
af	-0.8452781735840054	3.930958836574954	3.085680662990949	3.51043971403684	6.782	0.0	100000
ak	-0.8272504752364127	4.248280963140669	3.421030487904256	3.843438343409456	5.950537634408602	0.0	100000
ar	-0.9597367615270902	4.062193517355214	3.102456755828124	3.6932800448232617	5.476	0.0	100000
bg	-1.2605896123839906	3.8031172517436325	2.542527639359642	3.1824566308919846	7.24	0.0	100000
bn	-0.4773976971262952	4.4341439299282905	3.9567462328019953	4.1750237856525505	3.885	0.0	100000
chr	-0.8627885489039704	5.311512850066594	4.448724301162623	4.903444851200196	5.373	0.0	100000
de	-1.2656388621271684	3.652424775517523	2.3867859133903546	3.0616005763292606	7.593	0.0	100000
el	-1.410963669285001	3.841959698495584	2.430996029210583	3.115594409119605	7.562	0.0	100000
en	-1.0772627444502736	3.853283268226946	2.776020523776672	3.2845131657190003	6.658	0.0	100000
es	-1.105491797642927	3.7450350001578143	2.6395432025148873	3.1689816040261674	7.047	0.0	100000
et	-1.074316275147643	3.574748254257391	2.5004319791097482	2.9647011327444868	7.012	0.0	100000
eu	-1.1682326491473929	3.616835844406156	2.4486031952587632	3.0078147683905034	7.246	0.0	100000
fa	-0.7192075054664149	4.327912530987032	3.608705025520617	3.9815293981715825	5.057	0.0	100000
fi	-1.0022072328295484	3.585931318690452	2.5837240858609034	3.070552431938702	7.369	0.0	100000
ga	-1.2698943463442713	4.07987538740936	2.8099810410650887	3.441001734414918	6.69	0.0	100000
gn	-0.8189728924100956	3.9761363686253346	3.157163476215239	3.5819898949881805	6.918	0.0	100000
haw	-0.731080288613474	4.151858180150898	3.4207778915374236	3.794357502862036	6.36	0.0	100000
he	-0.6668584796250494	3.943499198531011	3.2766407189059614	3.6379794824251412	5.108	0.0	100000
hi	-0.6783615103240548	4.3397863347457415	3.6614248244216867	4.025585643312145	5.424	0.0	100000
hu	-0.9240021782621257	3.7488118719322965	2.8248096936701708	3.2624510378370872	7.282	0.0	100000
id	-0.7257816956544207	3.871786903089441	3.1460052074350204	3.5595857429300066	6.565	0.0	100000
is	-1.1277527418782483	4.002171395162981	2.874418653284733	3.4082772535648376	6.71	0.0	100000
it	-0.8635798581216863	3.6820711237203656	2.8184912655986794	3.2276703820009387	7.015	0.0	100000
kn	-0.7202992455041022	4.548195530970892	3.8278962854667897	4.2237438451972995	3.925355450236967	0.0	100000
lt	-0.9395822620437757	3.6607238071440102	2.7211415451002345	3.1551841592262364	7.239	0.0	100000
mr	-0.6178170491402204	4.526646519142016	3.9088294700017956	4.208287989033759	4.01	0.0	100000
no	-1.112887113262902	3.9945537108090607	2.881666597546159	3.4080249581274784	6.865	0.0	100000
nv	-0.9349751440257279	4.030236028727555	3.095260884701827	3.576474508519143	7.353891336270191	0.0	100000
pl	-1.1343512137599725	3.798443978368161	2.6640927646081884	3.166891373195214	7.201	0.0	100000
pt	-1.1476589852890955	3.8428722688467967	2.695213283557701	3.2342755690873517	6.951	0.0	100000
ru	-1.0931629142328827	3.7170416193498266	2.623878705116944	3.120701935545899	7.331	0.0	100000
sn	-0.8811249176063951	3.725621615475202	2.844496697868807	3.2984138194610257	6.917	0.0	100000
sw	-0.7315339784742103	4.062281122315065	3.330747143840855	3.6979831247092187	6.485	0.0	100000
ta	-0.3872988543485949	4.650204182759812	4.262905328411217	4.518259117332873	3.0866666666666664	0.01301	100000
te	-0.35720412304244586	4.886890972705586	4.52968684966314	4.745791281994483	3.202054794520548	0.00608	100000
th	-0.29077239826835655	4.444099770937304	4.153327372668947	4.326943333087945	4.797	1e-05	100000
tl	-0.6702922797395101	3.9136260306445063	3.243333750904996	3.632057014425056	6.824	0.0	100000
tr	-1.1613691116650697	3.9202968153923017	2.758927703727232	3.322751902741139	6.681	0.0	100000
tt	-1.5869450519737813	4.412308690792773	2.8253636388189913	3.6102215159119897	6.558	0.0	100000
ur	-0.4991206771977015	4.333813999308861	3.834693322111159	4.105972077313243	4.813	0.0	100000
zu	-1.206633991595388	3.836041383482087	2.6294073918866987	3.2557352156891284	7.551	0.0	100000
