language	diff	surp_initial	surp_final	surp_avg	length_avg	p_value	n_permutations
af	-1.052680137810567	3.948375647748683	2.895695509938116	3.4420865109402965	6.782	0.0	100000
ak	-1.1176947408789495	4.265693607184247	3.147998866305297	3.7490434531844614	5.950537634408602	0.0	100000
ar	-1.3787282424258662	4.066822485430055	2.688094243004189	3.527550238620314	5.476	0.0	100000
bg	-1.362819758406387	3.816770689158218	2.453950930751831	3.149746594496048	7.24	0.0	100000
bn	-1.3973959216577723	4.443272100368956	3.045876178711184	3.786503848393877	3.885	0.0	100000
chr	-1.6264537635471572	5.33173730266953	3.7052835391223726	4.59634276656646	5.373	0.0	100000
de	-1.3187726543775424	3.67219553550319	2.3534228811256477	3.0588991941421564	7.593	0.0	100000
el	-1.628155494248841	3.8482681629161557	2.2201126686673147	3.030030954774061	7.562	0.0	100000
en	-1.3230974633828154	3.8709448929021395	2.547847429519324	3.202276601884395	6.658	0.0	100000
es	-1.3504977207688724	3.756016044648787	2.4055183238799147	3.0816620562683514	7.047	0.0	100000
et	-1.1308976755859028	3.590068691686515	2.4591710161006124	2.9667586392591025	7.012	0.0	100000
eu	-1.1970507141123155	3.630941541044002	2.4338908269316866	3.00740106401514	7.246	0.0	100000
fa	-1.2081303504521745	4.338519774080915	3.13038942362874	3.787804112102963	5.057	0.0	100000
fi	-1.182141364373265	3.5995291589532368	2.4173877945799718	3.0129495478527715	7.369	0.0	100000
ga	-1.406406533305344	4.102020018965065	2.6956134856597207	3.404398562266695	6.69	0.0	100000
gn	-1.134400617927168	3.9924468511715663	2.8580462332443983	3.462096886340421	6.918	0.0	100000
haw	-1.0300916326865184	4.171057075219472	3.1409654425329534	3.690321272300364	6.36	0.0	100000
he	-1.2852531052004443	3.9483121739433646	2.6630590687429203	3.3876082828303704	5.108	0.0	100000
hi	-1.178971247960825	4.350777995700574	3.1718067477397494	3.8228335019845594	5.424	0.0	100000
hu	-1.1028660478095453	3.7659431284842055	2.66307708067466	3.2090705917113556	7.282	0.0	100000
id	-0.9892219743564765	3.8888897913173768	2.8996678169609003	3.4652570269737097	6.565	0.0	100000
is	-1.3156507700592948	4.021321232403608	2.705670462344313	3.3530246691765098	6.71	0.0	100000
it	-1.1060559018495417	3.6941987637276292	2.5881428618780875	3.1408344423590355	7.015	0.0	100000
kn	-1.5190744031341366	4.559620967771312	3.040546564637175	3.870419972146578	3.925355450236967	0.0	100000
lt	-1.2181521524755161	3.6724885580578728	2.4543364055823567	3.047739911774241	7.239	0.0	100000
mr	-1.449841691239261	4.546033708099588	3.096192016860327	3.868510342145507	4.01	0.0	100000
no	-1.2421650036270755	4.018639952836215	2.776474949209139	3.3875549445455246	6.865	0.0	100000
nv	-1.1204138567469601	4.055890681151492	2.935476824404532	3.51780774570815	7.353891336270191	0.0	100000
pl	-1.317214195267038	3.812004114242123	2.494789918975085	3.11102869918494	7.201	0.0	100000
pt	-1.4314659025442196	3.855128966113864	2.4236630635696446	3.135592461852007	6.951	0.0	100000
ru	-1.2646114031433493	3.7290396435735844	2.464428240430235	3.0590366841825953	7.331	0.0	100000
sn	-1.2301369032311098	3.7392244391894365	2.5090875359583267	3.1703999307732267	6.917	0.0	100000
sw	-1.0614269150817264	4.076413136063532	3.0149862209818052	3.5688646290129635	6.485	0.0	100000
ta	-1.4769899649505298	4.671226046673239	3.1942360817227096	4.063973036437398	3.0866666666666664	0.0	100000
te	-1.5892664064198803	4.894832267618234	3.305565861198354	4.235380871964921	3.202054794520548	0.0	100000
th	-1.1983904663615834	4.463164946188889	3.2647744798273055	3.97758852313775	4.797	0.0	100000
tl	-0.8964213519745994	3.9330599697504525	3.036638617775853	3.5588813050692716	6.824	0.0	100000
tr	-1.2902928714657396	3.9375421651589595	2.64724929369322	3.2932610210597986	6.681	0.0	100000
tt	-1.7305735055617841	4.433104979454075	2.702531473892291	3.555872782932699	6.558	0.0	100000
ur	-1.167478239557501	4.342826535312341	3.17534829575484	3.841587224242714	4.813	0.0	100000
zu	-1.39549896385288	3.851025639009139	2.4555266751562588	3.18231703509037	7.551	0.0	100000
