language	diff	surp_initial	surp_final	surp_avg	length_avg	p_value	n_permutations
af	-0.37585590621512566	4.476265621324796	4.10040971510967	4.288872844525021	6.782	0.0	100000
ak	-0.47525619335194325	4.819658631848726	4.3444024384967825	4.581084557712881	5.950537634408602	0.0	100000
ar	-0.1162060468939643	4.243678792445501	4.127472745551537	4.271308389770985	5.476	0.01015	100000
bg	-0.552612070160138	4.610403094474033	4.057791024313895	4.385803468432597	7.24	0.0	100000
bn	0.2249318041265731	4.668658514264212	4.893590318390785	4.80194475268854	3.885	0.0	100000
chr	-0.08932472995228213	5.92996703630684	5.840642306354558	5.949175659088389	5.373	0.07622	100000
de	-0.46184666720846757	4.569571589786098	4.1077249225776304	4.379837639690204	7.593	0.0	100000
el	-0.2744286250299872	4.883385992287886	4.608957367257899	4.7488403292972885	7.562	0.0	100000
en	-0.3473815210300879	4.5118437148372825	4.164462193807195	4.333867266657996	6.658	0.0	100000
es	-0.42914780478747794	4.51587021736775	4.086722412580272	4.302240893221753	7.047	0.0	100000
et	-0.45074855242032186	4.382281109672245	3.9315325572519235	4.1542256326777585	7.012	0.0	100000
eu	-0.6661730761075737	4.416277155692754	3.75010407958518	4.095612649460161	7.246	0.0	100000
fa	-0.4197419177724644	4.58358504860268	4.163843130830216	4.386549510725339	5.057	0.0	100000
fi	-0.41605088827535663	4.346527180036792	3.930476291761435	4.1572338014768855	7.369	0.0	100000
ga	-0.4846100532213793	4.643586068162083	4.158976014940704	4.403361641145746	6.69	0.0	100000
gn	-0.24019259996908104	4.784729075074128	4.544536475105047	4.675957419373591	6.918	0.0	100000
haw	-0.33535714564878205	4.5141739881809215	4.1788168425321395	4.373998574955312	6.36	0.0	100000
he	-0.02796562133104974	4.052959720555	4.02499409922395	4.06743882569174	5.108	0.48943	100000
hi	0.08630660730919537	4.855053585141833	4.941360192451028	4.946862593293096	5.424	0.06341	100000
hu	-0.28429197104102055	4.719439869112577	4.435147898071556	4.598162700713343	7.282	0.0	100000
id	-0.22780849911858958	4.247782422214295	4.019973923095705	4.178684246140056	6.565	0.0	100000
is	-0.5102025699250632	4.816296229917125	4.306093659992062	4.55626299715572	6.71	0.0	100000
it	-0.4386697065889851	4.360878743943795	3.92220903735481	4.13651904950984	7.015	0.0	100000
kn	-0.05356654470813371	4.6986031224354265	4.645036577727293	4.735545736963636	3.925355450236967	0.25508	100000
lt	-0.2742336425160605	4.446319936839048	4.1720862943229875	4.3571655332584704	7.239	0.0	100000
mr	-0.11360589502482821	5.02240274758006	4.9087968525552315	4.996754328737987	4.01	0.00126	100000
no	-0.6057991175504518	4.605742388124847	3.9999432705743954	4.290065884389675	6.865	0.0	100000
nv	-0.1520478710457347	4.761110865311505	4.60906299426577	4.704589508434314	7.353891336270191	0.00767	100000
pl	-0.1294799156506592	4.706786774337512	4.577306858686852	4.651850687441609	7.201	0.00022	100000
pt	-0.40686258190272984	4.559180241122283	4.152317659219553	4.376213364962217	6.951	0.0	100000
ru	-0.07408465721220825	4.578453656844026	4.504368999631818	4.555913028301511	7.331	0.06132	100000
sn	-0.3084990515290418	4.501951077379544	4.193452025850502	4.350096776087274	6.917	0.0	100000
sw	-0.3082116467129552	4.557889064824922	4.2496774181119665	4.41079044336265	6.485	0.0	100000
ta	-0.0737558124272244	4.704456214218924	4.6307004017916995	4.724492123480196	3.0866666666666664	0.49433	100000
te	-0.2769438959185493	4.991832662343703	4.714888766425154	4.8911083877948505	3.202054794520548	0.00748	100000
th	0.0808968998449755	4.896560884091703	4.9774577839366785	4.996307146356787	4.797	0.09313	100000
tl	-0.21042527742247863	4.296384113171286	4.085958835748808	4.2320417358076625	6.824	0.0	100000
tr	-0.5261033118609779	4.831226009881845	4.305122698020867	4.5906145789548045	6.681	0.0	100000
tt	-0.37492554218138174	5.280139726593232	4.90521418441185	5.09739634710872	6.558	0.0	100000
ur	-0.07942723516308714	4.584260064938245	4.504832829775157	4.550327316414648	4.813	0.08162	100000
zu	-0.5163832905403396	4.703215562296587	4.186832271756248	4.451473584788706	7.551	0.0	100000
