language	diff	surp_initial	surp_final	surp_avg	length_avg	p_value	n_permutations
af	-1.5099082982178889	4.476673259129757	2.966764960911868	3.810206912674027	6.782	0.0	100000
ak	-1.7683526092707074	4.820190396366275	3.0518377870955677	4.04092418139539	5.950537634408602	0.0	100000
ar	-1.4346050149841498	4.243708350211127	2.8091033352269767	3.7298102859948075	5.476	0.0	100000
bg	-1.5985815641256105	4.610461499046838	3.011879934921228	3.945351087143801	7.24	0.0	100000
bn	-1.703267437696654	4.668799948784544	2.9655325110878903	3.976969643954034	3.885	0.0	100000
chr	-2.0785502515189562	5.9300322968650265	3.8514820453460703	5.099450327767067	5.373	0.0	100000
de	-1.5223612503272257	4.569878031764225	3.0475167814369994	3.928646433486386	7.593	0.0	100000
el	-1.396621510276637	4.883705245839872	3.487083735563235	4.277177295648707	7.562	0.0	100000
en	-1.498053072827727	4.512181208560445	3.0141281357327183	3.8526320966155696	6.658	0.0	100000
es	-1.511660133453176	4.516225986021238	3.0045658525680623	3.8507125737433126	7.047	0.0	100000
et	-1.4863673227191914	4.383965355090993	2.8975980323718016	3.7231337129247857	7.012	0.0	100000
eu	-1.6383494578109739	4.4162864166780915	2.7779369588671177	3.682926856884765	7.246	0.0	100000
fa	-1.8132142978714336	4.583626668136758	2.7704123702653245	3.799244328181327	5.057	0.0	100000
fi	-1.4403293100522134	4.346630767226892	2.9063014571746786	3.7263817715641654	7.369	0.0	100000
ga	-1.655482734701601	4.643591114208275	2.9881083795066736	3.9058034365557743	6.69	0.0	100000
gn	-1.4504099874602105	4.785204815259963	3.3347948277997523	4.161371942858493	6.918	0.0	100000
haw	-1.528869275735317	4.51480051725932	2.985931241524003	3.8627373409731645	6.36	0.0	100000
he	-1.3331396614464568	4.0529626555850555	2.7198229941385987	3.5212752939073484	5.108	0.0	100000
hi	-1.4868785349146698	4.855201992483059	3.3683234575683896	4.279950260273856	5.424	0.0	100000
hu	-1.4206670303851028	4.719592883949538	3.2989258535644352	4.122935777279255	7.282	0.0	100000
id	-1.3691301810668177	4.247863988751401	2.8787338076845836	3.7004257920018095	6.565	0.0	100000
is	-1.7018913777030305	4.816331970418376	3.1144405927153453	4.058527605766554	6.71	0.0	100000
it	-1.4825605677705602	4.361183860605029	2.8786232928344684	3.697977053249009	7.015	0.0	100000
kn	-1.9530941811370672	4.69860724107319	2.7455130599361226	3.9281636970225335	3.925355450236967	0.0	100000
lt	-1.362014294907938	4.446695673563584	3.0846813786556457	3.8926888464332987	7.239	0.0	100000
mr	-2.029633956529627	5.022579451947705	2.9929454954180783	4.181620074165332	4.01	0.0	100000
no	-1.7168137521423503	4.605752554376386	2.888938802234036	3.830880515172399	6.865	0.0	100000
nv	-1.3752671442781765	4.761832319747562	3.3865651754693853	4.183304707876755	7.353891336270191	0.0	100000
pl	-1.3135584937149263	4.7074692923746975	3.393910798659771	4.164623306183103	7.201	0.0	100000
pt	-1.5141685734617463	4.559349373352187	3.0451807998904403	3.9147254763137753	6.951	0.0	100000
ru	-1.2514820121811967	4.578688436863004	3.3272064246818074	4.066990347491236	7.331	0.0	100000
sn	-1.4200804942356964	4.502690610009734	3.0826101157740373	3.88719357909051	6.917	0.0	100000
sw	-1.5129237121767245	4.558871870199605	3.04594815802288	3.9012432279415425	6.485	0.0	100000
ta	-2.22232668789104	4.704502531110423	2.482175843219383	3.790112252936427	3.0866666666666664	0.0	100000
te	-2.391821608322443	4.991972399005428	2.6001507906829855	3.9905315143278877	3.202054794520548	0.0	100000
th	-1.716094845364172	4.896697476982909	3.180602631618737	4.243070059629724	4.797	0.0	100000
tl	-1.3330818274108598	4.297633751798969	2.9645519243881093	3.7607847394038396	6.824	0.0	100000
tr	-1.7366591646620195	4.831768366721122	3.0951092020591027	4.091763853470515	6.681	0.0	100000
tt	-1.7942840820667483	5.280157712887573	3.4858736308208247	4.498746124707295	6.558	0.0	100000
ur	-1.601062580915495	4.584261758784117	2.983199177868622	3.9185081379532147	4.813	0.0	100000
zu	-1.5683923990484985	4.703234182666569	3.1348417836180706	4.004156927258944	7.551	0.0	100000
