language	diff	surp_initial	surp_final	surp_avg	length_avg	p_value	n_permutations
af	-0.5106353749383055	3.9748943871831983	3.464259012244893	3.6900640333856467	6.782	0.0	100000
ak	-0.2930464796080039	4.088034090426842	3.7949876108188385	3.9163528230819735	5.950537634408602	0.0009	100000
ar	0.4837260046368259	3.213219344517437	3.6969453491542628	3.571175941275199	5.476	0.0	100000
bg	-0.3268979701657506	3.4839074721779517	3.157009502012201	3.396793638373393	7.24	0.0	100000
bn	0.800160360430767	3.691104823875393	4.49126518430616	4.096129872681239	3.885	0.0	100000
chr	0.2491496292031128	4.906855550157226	5.1560051793603385	5.06554746312412	5.373	8e-05	100000
de	-0.4310639123682791	3.5663001130397287	3.1352362006714496	3.3573241970046275	7.593	0.0	100000
el	-0.10245625937439806	3.350682491437423	3.248226232063025	3.3568774568723923	7.562	0.09338	100000
en	-0.5219141701628396	3.842021043149366	3.3201068729865266	3.601552269787408	6.658	0.0	100000
es	-0.6513799566228187	3.8769872768733626	3.225607320250544	3.5385786463238866	7.047	0.0	100000
et	-0.11149120789336253	3.329473917500743	3.2179827096073805	3.2663240170696177	7.012	0.06733	100000
eu	-0.2925121911929849	3.389883890315502	3.097371699122517	3.270346434394308	7.246	1e-05	100000
fa	-0.2464833997521998	4.154526780176616	3.9080433804244166	4.022104021082977	5.057	2e-05	100000
fi	-0.37104211014780697	3.6189544841656383	3.2479123740178313	3.4045602616004076	7.369	0.0	100000
ga	-0.795381512288087	4.177089645004596	3.381708132716509	3.7855347412661833	6.69	0.0	100000
gn	-0.23682130994434925	3.822249295400525	3.585427985456176	3.723586939458214	6.918	9e-05	100000
haw	-0.7698671485403423	4.518013037250148	3.7481458887098054	4.09062552508985	6.36	0.0	100000
he	0.3357852353030264	3.3740106256990083	3.7097958610020347	3.5935349409090045	5.108	0.0	100000
hi	-0.006623573153370366	4.2262734897737495	4.219649916620379	4.229556378710954	5.424	0.92425	100000
hu	0.05225280606862137	3.5168593855109873	3.5691121915796087	3.5292625768790966	7.282	0.43245	100000
id	-0.4103163199435249	3.935028891279615	3.52471257133609	3.7363933059490275	6.565	0.0	100000
is	-0.26609204534172193	3.8357488248563145	3.5696567795145926	3.6958121766517733	6.71	5e-05	100000
it	-0.45472854337172874	3.719684865014352	3.2649563216426234	3.4780970594501777	7.015	0.0	100000
kn	0.5614045242276555	3.9654880133132044	4.52689253754086	4.3011075206658065	3.925355450236967	0.0	100000
lt	0.2941652957989187	3.0806646213074207	3.3748299171063394	3.3166957885519603	7.239	3e-05	100000
mr	0.5684842398259757	3.996846746624164	4.56533098645014	4.285288896596134	4.01	0.0	100000
no	-0.593418739796022	3.966370038929434	3.372951299133412	3.6235844357449074	6.865	0.0	100000
nv	-0.2392413079262643	3.9746465824998065	3.735405274573542	3.872384271971685	7.353891336270191	0.00182	100000
pl	0.21366697288226089	3.2671097085716094	3.4807766814538703	3.385527088806777	7.201	0.00194	100000
pt	-0.46353253171927244	3.739399047730466	3.2758665160111935	3.5166449511341535	6.951	0.0	100000
ru	0.258893471906942	3.2500087555387602	3.5089022274457022	3.409340793891396	7.331	0.00015	100000
sn	-0.06572216796667352	3.352449459601495	3.2867272916348216	3.3054955474442345	6.917	0.2057	100000
sw	-0.34346338249456254	3.934492553607497	3.5910291711129343	3.682833313418327	6.485	0.0	100000
ta	-0.28595613075854054	4.878224379701974	4.592268248943434	4.712567427241139	3.0866666666666664	0.05966	100000
te	-0.35618780636697966	5.029702338887402	4.673514532520422	4.871314383510222	3.202054794520548	0.00457	100000
th	0.4036791980659453	4.08457714939571	4.488256347461656	4.299830195001319	4.797	0.0	100000
tl	-0.4581968101312399	3.897255727250899	3.439058917119659	3.680636303256694	6.824	0.0	100000
tr	-0.22410888845324228	3.6796314600602966	3.4555225716070543	3.55987885794187	6.681	0.00059	100000
tt	-0.1445138539719384	3.982814818705383	3.8383009647334445	3.90102446395458	6.558	0.04112	100000
ur	-0.027997310929844588	4.254314612713699	4.226317301783855	4.241694806559321	4.813	0.60751	100000
zu	-0.09585525750057844	3.264590030890628	3.1687347733900495	3.1995500988928542	7.551	0.12026	100000
