language	diff	surp_initial	surp_final	surp_avg	length_avg	p_value	n_permutations
af	0.26735878848566097	3.2079844653813767	3.4753432538670377	3.3861471170328854	6.782	0.0	100000
ak	0.40166183739930705	3.416225019221013	3.81788685662032	3.668899882817697	5.950537634408602	0.0	100000
ar	0.9592128079562086	2.7420513405387212	3.70126414849493	3.378458511738379	5.476	0.0	100000
bg	0.28322956163472	2.8776483015988132	3.1608778632335333	3.1327096896024806	7.24	0.0	100000
bn	1.6492718298375388	2.8494002136752608	4.4986720435128	3.7421838877258677	3.885	0.0	100000
chr	1.3622438061142024	3.8108522909454337	5.173096097059636	4.600980197473968	5.373	0.0	100000
de	0.30361235269546505	2.836062889289619	3.139675241985084	3.041745489308277	7.593	0.0	100000
el	0.4194759771974197	2.8336551386808946	3.2531311158783143	3.1322632019380015	7.562	0.0	100000
en	0.2531168728740618	3.0726505900410856	3.3257674629151475	3.2777389233617633	6.658	0.0	100000
es	0.08394144599477915	3.1466287787907823	3.2305702247855614	3.242574015608845	7.047	0.12542	100000
et	0.5595385016581806	2.6646530409474303	3.224191542605611	2.995700185639844	7.012	0.0	100000
eu	0.3342725970022684	2.7693206275201065	3.103593224522375	3.0054936626196294	7.246	0.0	100000
fa	0.4934563668042662	3.422470099822886	3.9159264666271523	3.7308193496589883	5.057	0.0	100000
fi	0.3648715907017057	2.8894620332070606	3.2543336239087663	3.1040026742479614	7.369	0.0	100000
ga	0.019818941875038742	3.3682241260987853	3.388043067973824	3.430572773678476	6.69	0.51117	100000
gn	0.43866683873836765	3.158346965923408	3.5970138046617754	3.4414388941599237	6.918	0.0	100000
haw	0.2463658232310948	3.5170251249031694	3.7633909481342642	3.6762919136688335	6.36	1e-05	100000
he	0.8380782965977529	2.8753112041524425	3.7133895007501954	3.3885835904973347	5.108	0.0	100000
hi	0.9599844148680576	3.269570748808701	4.229555163676759	3.830797446730782	5.424	0.0	100000
hu	0.6858017899446036	2.889223495904143	3.5750252858487466	3.2814508627926124	7.282	0.0	100000
id	0.39078317858301537	3.139689211922993	3.5304723905060085	3.4110092962384835	6.565	0.0	100000
is	0.5670211264626732	3.012487142840324	3.5795082693029974	3.3689972834612503	6.71	0.0	100000
it	0.2134124839885141	3.058674952349919	3.272087436338433	3.206223002339428	7.015	0.0	100000
kn	1.4673732262124388	3.073335192805882	4.540708419018321	3.8994846171661823	3.925355450236967	0.0	100000
lt	0.813379783805734	2.5662006991056723	3.3795804829114062	3.0739838994220228	7.239	0.0	100000
mr	1.4766718098593583	3.102590478043339	4.579262287902697	3.912375338980268	4.01	0.0	100000
no	0.1927766470992096	3.1909652043218775	3.383741851421087	3.317874341097565	6.865	0.00019	100000
nv	0.3595780849440886	3.3883641606518173	3.747942245595906	3.6117143258118305	7.353891336270191	0.0	100000
pl	0.8087044954071758	2.6780027721051347	3.4867072675123105	3.1499416958812265	7.201	0.0	100000
pt	0.27749299742865396	3.002905291777795	3.280398289206449	3.213090069366687	6.951	0.0	100000
ru	0.8455509491068449	2.6688818545026733	3.5144328036095183	3.169553368288971	7.331	0.0	100000
sn	0.38286842891046646	2.912912367211885	3.2957807961223513	3.1249356171431053	6.917	0.0	100000
sw	0.49545288889006356	3.1017942400358254	3.597247128925889	3.340732423271584	6.485	0.0	100000
ta	1.3849517204959017	3.2279854514858575	4.612937171981759	4.013273501014595	3.0866666666666664	0.0	100000
te	1.2638220337012367	3.4180904594270283	4.681912493128265	4.206389135659708	3.202054794520548	0.0	100000
th	1.2731301554936114	3.238338183683752	4.511468339177363	3.9688176024180657	4.797	0.0	100000
tl	0.26346505200793624	3.186380299254525	3.449845351262461	3.390633517213049	6.824	0.0	100000
tr	0.5716150101533044	2.889290382935435	3.4609053930887392	3.2441971345201717	6.681	0.0	100000
tt	0.6386004920033286	3.209535064094926	3.8481355560982546	3.5604491932835303	6.558	0.0	100000
ur	0.8466515751238521	3.3884782353068115	4.235129810430664	3.8992904763327396	4.813	0.0	100000
zu	0.2806458372115155	2.895355380280312	3.1760012174918275	3.0345036152665337	7.551	0.0	100000
