language	diff	surp_initial	surp_final	surp_avg	length_avg	p_value	n_permutations
af	-0.9484201673039481	5.129234097399495	4.180813930095547	4.606869437518715	6.782	0.0	100000
ak	-0.7526099221692979	5.124913179039408	4.37230325687011	4.721704580169181	5.950537634408602	0.0	100000
ar	-0.14321748418424018	4.538799165509248	4.395581681325008	4.511371431397067	5.476	0.00049	100000
bg	-0.8420626422699318	5.067075114823303	4.225012472553371	4.644725476475415	7.24	0.0	100000
bn	0.12023676722450283	4.944756909913178	5.0649936771376805	5.020564728947481	3.885	0.00222	100000
chr	-0.3637354950187799	6.492353937791184	6.128618442772404	6.340182610970074	5.373	0.0	100000
de	-1.114627854881367	5.282822667600399	4.168194812719032	4.712833346236743	7.593	0.0	100000
el	-0.5706755845105818	5.240977012600985	4.670301428090403	4.933791868796834	7.562	0.0	100000
en	-0.8457471951082773	5.086032766095472	4.2402855709871945	4.620785896028412	6.658	0.0	100000
es	-0.8639565352861354	5.068797888907632	4.204841353621497	4.586225102239043	7.047	0.0	100000
et	-0.8490126706868475	4.879143094825552	4.030130424138704	4.41075339759664	7.012	0.0	100000
eu	-1.0118716477689413	4.930007752665287	3.918136104896346	4.390989253026626	7.246	0.0	100000
fa	-0.4589675110504787	4.806429198273683	4.347461687223205	4.56589335931672	5.057	0.0	100000
fi	-0.9050034571890784	5.042919739686212	4.137916282497134	4.554538935040293	7.369	0.0	100000
ga	-0.9398120481847112	5.255142100897552	4.315330052712841	4.759432645512858	6.69	0.0	100000
gn	-0.6394788123493234	5.251789589741982	4.612310777392659	4.909113053953932	6.918	0.0	100000
haw	-1.0568791412975553	5.397246103438411	4.340366962140855	4.832332303865562	6.36	0.0	100000
he	-0.002154227185602764	4.347810880394981	4.345656653209378	4.349013985993464	5.108	0.94113	100000
hi	-0.3367256891416712	5.431220911433091	5.09449522229142	5.277141377896733	5.424	0.0	100000
hu	-0.7527669071954515	5.263156842225922	4.510389935030471	4.858715331052741	7.282	0.0	100000
id	-0.942696395934159	5.145376638724321	4.202680242790162	4.656660445764424	6.565	0.0	100000
is	-1.0444116934125756	5.478211560633024	4.433799867220449	4.907738672480444	6.71	0.0	100000
it	-0.8606293499125286	4.930421322957657	4.069791973045128	4.450872464142527	7.015	0.0	100000
kn	-0.17958686290827686	5.028157912451481	4.848571049543204	4.995135407364011	3.925355450236967	4e-05	100000
lt	-0.5175110375500065	5.0037067115032166	4.48619567395321	4.753011921554047	7.239	0.0	100000
mr	-0.13349882026273274	5.128267032671582	4.994768212408849	5.094850791434778	4.01	0.00022	100000
no	-1.0906042308944954	5.224389425311129	4.1337851944166335	4.626087764195412	6.865	0.0	100000
nv	-0.5631269326097321	5.215313640743995	4.652186708134263	4.92202046017373	7.353891336270191	0.0	100000
pl	-0.5793426682601526	5.225204812917556	4.6458621446574035	4.896128451389216	7.201	0.0	100000
pt	-0.8450831242291095	5.141819825611786	4.2967367013826765	4.685446508100346	6.951	0.0	100000
ru	-0.45228187292105115	5.014023369547279	4.561741496626228	4.749075309902051	7.331	0.0	100000
sn	-0.6039079058008454	4.834748276651511	4.230840370850665	4.502454886712536	6.917	0.0	100000
sw	-0.8801710741106712	5.18785258164303	4.307681507532359	4.693452142430109	6.485	0.0	100000
ta	-0.4715766261701715	5.205998335526958	4.734421709356787	5.008238407991551	3.0866666666666664	0.0	100000
te	-0.4539405610734608	5.305581064510235	4.851640503436774	5.085565518480094	3.202054794520548	0.0	100000
th	-0.15607449662835293	5.210328449813587	5.054253953185234	5.153898780279311	4.797	0.00028	100000
tl	-0.7961070098834186	5.006538802787699	4.210431792904281	4.583275553417042	6.824	0.0	100000
tr	-0.9831157098172465	5.3439021459721765	4.36078643615493	4.8168450694734135	6.681	0.0	100000
tt	-0.8271109721623784	5.893288859315898	5.066177887153519	5.45534449981593	6.558	0.0	100000
ur	-0.1922519662517912	4.83801143023027	4.645759463978479	4.7223562109066375	4.813	0.0	100000
zu	-0.7337355870556594	4.984446418197604	4.250710831141944	4.616327984545438	7.551	0.0	100000
