language	diff	surp_initial	surp_final	surp_avg	length_avg	p_value	n_permutations
af	-1.3459074533490099	5.325080451844618	3.9791729984956086	4.629333971863811	6.782	0.0	100000
ak	-1.2901761318541043	5.348873815855122	4.058697684001018	4.7203696287457575	5.950537634408602	0.0	100000
ar	-0.7761376678237273	4.779809843080132	4.003672175256405	4.491283006892601	5.476	0.0	100000
bg	-1.2076123781961456	5.255932404524974	4.048320026328828	4.6706737683887365	7.24	0.0	100000
bn	-1.1068543374454656	5.269504483051666	4.1626501456062	4.815981958871418	3.885	0.0	100000
chr	-1.6344584406729519	6.736067909845169	5.101609469172217	6.033457328642219	5.373	0.0	100000
de	-1.4417350160940199	5.460321371422108	4.018586355328088	4.7426212792150695	7.593	0.0	100000
el	-0.9949749194112885	5.418415639565933	4.423440720154645	4.9281651778051305	7.562	0.0	100000
en	-1.2736085095717362	5.2899718568347325	4.016363347262996	4.634472408223578	6.658	0.0	100000
es	-1.2369870289040614	5.257642915571461	4.0206558866674	4.61664166041674	7.047	0.0	100000
et	-1.173013730747158	5.069872397902143	3.8968586671549854	4.462885676026794	7.012	0.0	100000
eu	-1.2927543985289711	5.11486994758844	3.822115549059469	4.4489010972104595	7.246	0.0	100000
fa	-1.1388318941198787	5.064875066001374	3.926043171881495	4.533763384899261	5.057	0.0	100000
fi	-1.2508917079945419	5.223893069841181	3.9730013618466393	4.584989236050087	7.369	0.0	100000
ga	-1.3986295716273256	5.457661679373074	4.0590321077457485	4.75312558361817	6.69	0.0	100000
gn	-1.1293273220861177	5.447682643211592	4.318355321125474	4.889021368125886	6.918	0.0	100000
haw	-1.5332134072266772	5.6034587782256065	4.070245370998929	4.828849870163911	6.36	0.0	100000
he	-0.6566084472547664	4.607756542856278	3.951148095601512	4.334641345675975	5.108	0.0	100000
hi	-1.1774969054301172	5.6677033029308905	4.490206397500773	5.14828323868707	5.424	0.0	100000
hu	-1.1909379197865846	5.454821678206998	4.2638837584204135	4.865417115953675	7.282	0.0	100000
id	-1.380265218499109	5.350553832498	3.970288613998891	4.6715322359192	6.565	0.0	100000
is	-1.519766179533394	5.677871760046257	4.158105580512863	4.906087028820454	6.71	0.0	100000
it	-1.2108306580462083	5.122632568755592	3.911801910709384	4.491008082768274	7.015	0.0	100000
kn	-1.352869098553608	5.3473776802924515	3.9945085817388435	4.789548129945677	3.925355450236967	0.0	100000
lt	-0.9500355500580504	5.189169733459771	4.23913418340172	4.741508948935687	7.239	0.0	100000
mr	-1.3217097568093017	5.4499698764461515	4.12826011963685	4.9068273750185964	4.01	0.0	100000
no	-1.483427153743433	5.42161995185063	3.938192798107197	4.657835066528287	6.865	0.0	100000
nv	-1.0425995657205451	5.400721806710771	4.358122240990226	4.887083441447746	7.353891336270191	0.0	100000
pl	-1.0496297300100021	5.412615705062826	4.3629859750528235	4.889021234870004	7.201	0.0	100000
pt	-1.265552801811939	5.338210336980128	4.072657535168189	4.703129656364046	6.951	0.0	100000
ru	-0.8952107465370389	5.196735041119847	4.3015242945828085	4.74522038376943	7.331	0.0	100000
sn	-0.990900256284645	5.030222678633628	4.039322422348983	4.5313454864980365	6.917	0.0	100000
sw	-1.337261949760956	5.392734344848288	4.055472395087332	4.700073230570744	6.485	0.0	100000
ta	-1.90329779568691	5.607597359783573	3.704299564096663	4.771996596168589	3.0866666666666664	0.0	100000
te	-1.8604581785886953	5.686328376178235	3.8258701975895395	4.8614101200229864	3.202054794520548	0.0	100000
th	-1.1795234943021224	5.485434035795293	4.30591054149317	4.9914148090052235	4.797	0.0	100000
tl	-1.202169543886228	5.202468398915158	4.00029885502893	4.6019360913668335	6.824	0.0	100000
tr	-1.4444590712493373	5.5450784729604745	4.100619401711137	4.8257422735803175	6.681	0.0	100000
tt	-1.5079724062893876	6.089542419164033	4.5815700128746455	5.346370450234319	6.558	0.0	100000
ur	-1.0021866777064288	5.111138737388639	4.108952059682211	4.657992187073496	4.813	0.0	100000
zu	-1.0727224107523057	5.161999675117437	4.089277264365132	4.6395104082704055	7.551	0.0	100000
